Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,6.67,7.00,7.00,7.00,7.00
05-19-2016,7.00,7.00,7.00,6.90,6.90
05-20-2016,6.90,7.00,7.01,7.00,7.00
05-20-2016,7.00,6.66,6.99,6.66,6.90
05-23-2016,6.90,7.00,7.00,6.99,6.99
05-24-2016,6.90,7.00,7.00,6.99,6.99
05-25-2016,6.99,6.90,6.90,6.65,6.65
05-26-2016,6.99,6.90,6.90,6.65,6.65
05-27-2016,6.99,6.90,6.90,6.65,6.65
05-30-2016,6.65,6.32,6.32,6.32,6.32
05-31-2016,6.32,6.62,6.62,6.01,6.01
06-01-2016,6.01,6.01,6.06,6.01,6.01
06-02-2016,6.01,5.90,6.00,5.90,6.00
06-04-2016,6.00,5.70,5.70,5.70,5.70
06-06-2016,5.70,5.42,5.70,5.42,5.70
06-07-2016,5.70,5.70,5.70,5.70,5.70
06-08-2016,5.70,5.70,5.70,5.70,5.70
06-09-2016,5.70,5.42,5.70,5.42,5.70
06-10-2016,5.70,5.42,5.70,5.42,5.70
06-13-2016,5.70,5.98,5.98,5.98,5.98
06-14-2016,5.98,5.75,5.75,5.75,5.75
06-15-2016,5.75,5.50,5.56,5.50,5.56
06-16-2016,5.56,5.40,5.41,5.40,5.41
06-17-2016,5.41,5.51,5.51,5.51,5.51
06-19-2016,5.51,5.51,5.78,5.25,5.78
06-21-2016,5.51,5.51,5.78,5.25,5.78
06-22-2016,5.51,5.51,5.78,5.25,5.78
06-23-2016,5.78,6.06,6.06,6.06,6.06
06-24-2016,6.06,6.00,6.00,5.99,5.99
06-27-2016,5.99,6.00,6.00,6.00,6.00
06-28-2016,6.00,5.70,5.70,5.70,5.70
06-29-2016,6.00,5.70,5.70,5.70,5.70
06-30-2016,5.70,5.56,5.65,5.56,5.56
07-01-2016,5.56,5.40,5.83,5.40,5.83
07-05-2016,5.83,5.99,5.99,5.60,5.80
07-05-2016,5.80,5.80,5.99,5.52,5.52
07-08-2016,5.52,5.65,5.65,5.65,5.65
07-08-2016,5.65,5.85,5.90,5.85,5.90
07-11-2016,5.90,5.78,5.83,5.77,5.83
07-12-2016,5.83,5.75,5.75,5.54,5.68
