Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,39.00,37.50,38.90,37.50,38.10
05-19-2016,38.10,36.20,38.50,36.20,38.50
05-20-2016,38.10,36.20,38.50,36.20,38.50
05-21-2016,38.50,38.25,38.25,38.25,38.25
05-23-2016,38.50,38.25,38.25,38.25,38.25
05-24-2016,38.25,38.70,38.70,37.95,37.95
05-25-2016,38.25,38.70,38.70,37.95,37.95
05-26-2016,38.25,38.70,38.70,37.95,37.95
05-27-2016,38.25,38.70,38.70,37.95,37.95
05-30-2016,38.25,38.70,38.70,37.95,37.95
05-31-2016,38.25,38.70,38.70,37.95,37.95
06-01-2016,38.25,38.70,38.70,37.95,37.95
06-02-2016,38.25,38.70,38.70,37.95,37.95
06-04-2016,37.95,39.00,39.00,39.00,39.00
06-06-2016,37.95,39.00,39.00,39.00,39.00
06-07-2016,39.00,39.00,39.00,39.00,39.00
06-08-2016,39.00,38.00,38.00,37.05,38.00
06-09-2016,38.00,38.00,38.00,38.00,38.00
06-10-2016,38.00,38.00,38.00,38.00,38.00
06-13-2016,38.00,38.50,38.50,38.50,38.50
06-14-2016,38.00,38.50,38.50,38.50,38.50
06-15-2016,38.00,38.50,38.50,38.50,38.50
06-16-2016,38.00,38.50,38.50,38.50,38.50
06-17-2016,38.00,38.50,38.50,38.50,38.50
06-19-2016,38.00,38.50,38.50,38.50,38.50
06-21-2016,38.00,38.50,38.50,38.50,38.50
06-22-2016,38.00,38.50,38.50,38.50,38.50
06-23-2016,38.00,38.50,38.50,38.50,38.50
06-24-2016,38.00,38.50,38.50,38.50,38.50
06-27-2016,38.00,38.50,38.50,38.50,38.50
06-28-2016,38.50,38.50,38.50,38.50,38.50
06-29-2016,38.50,38.50,38.50,38.50,38.50
06-30-2016,38.50,39.00,39.00,39.00,39.00
07-01-2016,39.00,37.05,39.00,37.05,39.00
07-05-2016,39.00,37.05,39.00,37.05,38.60
07-05-2016,39.00,37.05,39.00,37.05,38.60
07-08-2016,38.60,36.70,39.00,36.70,38.45
07-08-2016,38.60,36.70,39.00,36.70,38.45
07-11-2016,38.45,38.00,38.00,38.00,38.00
07-12-2016,38.45,38.00,38.00,38.00,38.00
