Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,100.10,99.00,100.00,97.10,98.05
05-19-2016,98.05,97.00,112.80,95.40,107.55
05-20-2016,107.55,110.50,114.70,102.55,103.90
05-20-2016,103.90,105.05,106.00,97.10,98.25
05-23-2016,98.25,95.00,95.80,88.00,90.40
05-24-2016,90.40,89.00,92.00,86.20,87.80
05-25-2016,87.80,92.00,92.00,88.00,89.30
05-26-2016,89.30,89.00,89.65,86.00,86.55
05-27-2016,86.55,87.30,89.70,87.20,88.30
05-30-2016,88.30,88.10,89.20,84.25,84.95
05-31-2016,84.95,84.00,89.95,84.00,84.20
06-01-2016,84.20,84.25,94.70,84.25,90.10
06-02-2016,90.10,92.40,92.40,88.00,88.65
06-04-2016,88.65,89.00,93.70,88.00,89.30
06-06-2016,89.30,91.00,92.50,86.80,90.40
06-07-2016,90.40,91.00,94.40,88.70,90.15
06-08-2016,90.15,91.00,91.00,89.50,90.35
06-09-2016,90.35,91.00,91.50,89.00,89.30
06-10-2016,89.30,89.20,91.00,88.90,89.10
06-13-2016,89.10,90.70,91.70,86.50,87.00
06-14-2016,87.00,86.60,88.85,85.60,86.00
06-15-2016,86.00,86.00,87.95,86.00,86.90
06-16-2016,86.90,88.80,88.80,84.00,84.30
06-17-2016,84.30,85.10,86.90,83.00,83.55
06-19-2016,83.55,83.50,85.70,82.00,83.90
06-21-2016,83.90,86.00,87.00,85.00,86.25
06-22-2016,86.25,87.00,87.85,83.20,84.05
06-23-2016,84.05,86.70,86.70,83.00,84.05
06-24-2016,84.05,81.50,83.65,78.00,81.50
06-27-2016,81.50,86.70,86.70,80.85,82.45
06-28-2016,82.45,82.55,83.70,82.20,82.90
06-29-2016,82.90,85.45,86.00,83.05,84.60
06-30-2016,84.60,88.80,91.35,85.50,88.30
07-01-2016,88.30,89.00,96.40,88.60,92.20
07-05-2016,92.20,95.00,95.00,89.25,89.65
07-05-2016,89.65,91.80,91.80,87.50,88.70
07-08-2016,88.70,90.10,92.25,89.10,89.90
07-08-2016,89.90,90.95,90.95,88.00,88.30
07-11-2016,88.30,87.50,92.75,87.50,89.05
07-12-2016,89.05,91.70,91.70,88.50,88.90
