Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,646.15,650.00,655.00,645.00,647.20
05-19-2016,647.20,645.00,650.65,642.40,643.85
05-20-2016,643.85,645.05,654.30,640.00,644.25
05-20-2016,644.25,644.25,644.25,624.00,629.60
05-23-2016,629.60,635.00,644.85,630.55,640.75
05-24-2016,640.75,642.45,655.50,636.95,647.85
05-25-2016,647.85,652.00,654.00,646.80,650.40
05-26-2016,650.40,651.00,677.00,649.70,664.35
05-27-2016,664.35,664.35,674.30,657.70,667.10
05-30-2016,667.10,660.10,681.75,660.10,671.30
05-31-2016,671.30,670.00,677.95,658.25,661.90
06-01-2016,661.90,657.50,664.95,653.75,655.95
06-02-2016,655.95,655.00,664.15,650.90,653.85
06-04-2016,653.85,659.10,660.00,644.20,649.05
06-06-2016,649.05,650.00,653.70,643.40,645.95
06-07-2016,645.95,647.00,655.00,640.90,650.80
06-08-2016,650.80,649.05,654.85,645.10,651.55
06-09-2016,651.55,655.00,655.00,638.50,640.35
06-10-2016,640.35,638.50,643.95,633.40,641.55
06-13-2016,641.55,635.50,636.95,627.90,634.55
06-14-2016,634.55,637.00,645.00,635.70,643.20
06-15-2016,643.20,645.35,645.35,637.00,640.30
06-16-2016,640.30,640.30,640.35,628.75,632.65
06-17-2016,632.65,636.00,637.45,627.75,630.50
06-19-2016,630.50,626.50,644.00,626.50,639.45
06-21-2016,639.45,645.50,667.80,641.85,655.25
06-22-2016,655.25,659.00,662.15,650.65,653.75
06-23-2016,653.75,656.00,666.90,652.50,658.80
06-24-2016,658.80,649.00,666.00,631.10,657.10
06-27-2016,657.10,660.00,664.85,646.85,650.70
06-28-2016,650.70,652.25,663.60,652.00,659.00
06-29-2016,659.00,666.00,677.00,663.00,668.70
06-30-2016,668.70,665.95,673.70,661.15,664.75
07-01-2016,664.75,665.05,675.35,665.05,670.60
07-05-2016,670.60,675.90,677.50,670.20,671.75
07-05-2016,671.75,675.00,681.50,672.15,678.70
07-08-2016,678.70,676.00,677.00,657.00,659.65
07-08-2016,659.65,664.00,664.00,648.45,654.40
07-11-2016,654.40,654.00,666.70,654.00,665.50
07-12-2016,665.85,666.30,669.00,653.30,659.20
