Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,584.00,585.00,601.00,580.25,586.75
05-19-2016,586.75,589.50,597.00,583.00,587.00
05-20-2016,587.00,587.00,594.00,565.00,566.50
05-20-2016,566.50,567.50,569.75,554.00,559.50
05-23-2016,559.50,560.00,561.70,543.00,545.10
05-24-2016,545.10,545.35,565.05,542.45,560.50
05-25-2016,560.50,567.00,576.25,563.35,569.20
05-26-2016,569.20,572.80,572.80,557.00,564.10
05-27-2016,564.10,561.50,572.10,557.10,561.10
05-30-2016,561.10,562.00,579.50,562.00,565.35
05-31-2016,565.35,569.00,573.00,565.00,566.45
06-01-2016,566.45,572.00,577.00,564.00,565.30
06-02-2016,565.30,565.30,573.00,550.00,562.40
06-04-2016,562.40,560.10,579.50,552.00,554.85
06-06-2016,554.85,556.00,558.00,542.00,546.40
06-07-2016,546.40,547.50,555.00,532.50,544.10
06-08-2016,544.10,545.60,552.00,543.00,543.05
06-09-2016,543.05,549.50,549.50,541.10,542.75
06-10-2016,542.75,543.50,572.00,542.75,552.40
06-13-2016,552.40,550.00,552.75,540.50,544.30
06-14-2016,544.30,548.10,558.45,545.00,545.95
06-15-2016,545.95,552.00,557.55,546.00,547.80
06-16-2016,547.80,545.55,549.80,532.00,533.90
06-17-2016,533.90,539.00,547.80,536.00,538.70
06-19-2016,538.70,538.10,543.40,533.60,537.95
06-21-2016,537.95,537.00,558.00,537.00,544.75
06-22-2016,544.75,549.55,558.85,541.00,547.35
06-23-2016,547.35,547.00,553.25,544.00,545.15
06-24-2016,545.15,537.00,537.00,513.80,526.70
06-27-2016,526.70,528.50,535.15,522.45,525.55
06-28-2016,525.55,532.55,543.25,522.00,526.15
06-29-2016,526.15,531.35,535.45,526.05,529.35
06-30-2016,529.35,542.70,556.50,534.00,537.50
07-01-2016,537.50,541.60,548.00,535.00,536.65
07-05-2016,536.65,537.10,545.75,537.00,539.40
07-05-2016,539.40,537.15,541.20,527.00,530.25
07-08-2016,530.25,533.00,537.00,526.00,527.45
07-08-2016,527.45,534.00,534.00,522.00,523.20
07-11-2016,523.20,527.00,536.40,522.85,526.20
07-12-2016,526.20,529.70,531.20,517.00,519.35
