Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,9.11,9.00,9.38,8.73,9.27
05-19-2016,9.27,9.00,9.00,8.80,8.99
05-20-2016,8.99,9.00,9.20,8.79,9.18
05-20-2016,9.18,9.45,9.45,8.81,9.18
05-23-2016,9.18,9.55,10.40,9.20,9.40
05-24-2016,9.40,9.60,9.95,9.30,9.32
05-25-2016,9.32,9.33,9.75,9.33,9.47
05-26-2016,9.47,9.48,9.82,9.35,9.43
05-27-2016,9.43,9.61,9.61,9.18,9.23
05-30-2016,9.23,10.50,10.50,9.06,9.11
05-31-2016,9.11,9.10,9.10,9.01,9.02
06-01-2016,9.02,9.65,9.65,8.77,8.90
06-02-2016,8.90,8.90,9.24,8.83,9.05
06-04-2016,9.05,9.70,9.70,9.00,9.01
06-06-2016,9.01,9.01,9.33,8.80,8.95
06-07-2016,8.95,9.10,9.25,8.92,9.21
06-08-2016,9.21,9.30,9.30,9.00,9.00
06-09-2016,9.00,9.38,9.38,8.92,9.10
06-10-2016,9.10,9.20,10.00,9.02,9.45
06-13-2016,9.45,9.79,9.80,9.00,9.02
06-14-2016,9.02,9.20,9.30,8.96,9.01
06-15-2016,9.01,8.97,9.26,8.97,9.20
06-16-2016,9.20,9.10,9.70,8.25,9.01
06-17-2016,9.01,9.01,9.40,9.01,9.22
06-19-2016,9.22,8.70,9.35,8.70,9.12
06-21-2016,9.12,9.20,9.33,8.90,8.97
06-22-2016,8.97,9.05,9.25,9.00,9.25
06-23-2016,9.25,9.10,9.19,9.00,9.11
06-24-2016,9.11,8.80,9.00,8.68,8.75
06-27-2016,8.75,8.71,9.48,8.71,9.07
06-28-2016,9.07,9.00,9.29,8.99,9.02
06-29-2016,9.02,9.40,9.50,9.12,9.12
06-30-2016,9.12,9.37,9.37,9.00,9.02
07-01-2016,9.02,9.30,9.30,8.99,9.09
07-05-2016,9.09,8.87,9.38,8.87,9.00
07-05-2016,9.00,8.85,9.37,8.85,8.95
07-08-2016,8.95,9.08,9.25,8.99,9.09
07-08-2016,9.09,9.10,9.20,8.98,9.01
07-11-2016,9.01,9.25,9.25,8.95,9.01
07-12-2016,9.01,8.86,9.28,8.86,9.02
