Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,36.75,36.75,36.75,36.75,36.75
05-19-2016,36.75,36.75,36.75,36.75,36.75
05-20-2016,36.75,38.55,38.55,38.55,38.55
05-21-2016,38.55,40.45,40.45,40.45,40.45
05-23-2016,40.45,42.00,42.00,42.00,42.00
05-24-2016,40.45,42.00,42.00,42.00,42.00
05-25-2016,42.00,44.10,44.10,44.10,44.10
05-26-2016,44.10,46.00,46.00,46.00,46.00
05-27-2016,46.00,47.45,47.45,47.45,47.45
05-30-2016,47.45,47.45,47.45,45.10,45.10
05-31-2016,45.10,42.85,42.85,42.85,42.85
06-01-2016,42.85,44.95,44.95,40.75,40.75
06-02-2016,42.85,44.95,44.95,40.75,40.75
06-04-2016,42.85,44.95,44.95,40.75,40.75
06-06-2016,42.85,44.95,44.95,40.75,40.75
06-07-2016,42.85,44.95,44.95,40.75,40.75
06-08-2016,40.75,38.75,42.75,38.75,41.90
06-09-2016,41.90,42.00,42.00,42.00,42.00
06-10-2016,41.90,42.00,42.00,42.00,42.00
06-13-2016,42.00,44.00,44.00,39.90,42.60
06-14-2016,42.00,44.00,44.00,39.90,42.60
06-15-2016,42.60,44.00,44.00,44.00,44.00
06-16-2016,42.60,44.00,44.00,44.00,44.00
06-17-2016,42.60,44.00,44.00,44.00,44.00
06-19-2016,42.60,44.00,44.00,44.00,44.00
06-21-2016,42.60,44.00,44.00,44.00,44.00
06-22-2016,42.60,44.00,44.00,44.00,44.00
06-23-2016,44.00,44.80,44.80,44.80,44.80
06-24-2016,44.00,44.80,44.80,44.80,44.80
06-27-2016,44.80,46.40,46.40,46.40,46.40
06-28-2016,44.80,46.40,46.40,46.40,46.40
06-29-2016,46.40,48.70,48.70,44.10,44.10
06-30-2016,44.10,44.00,44.00,44.00,44.00
07-01-2016,44.00,46.00,46.00,46.00,46.00
07-05-2016,46.00,46.00,48.30,46.00,48.30
07-05-2016,48.30,47.75,47.75,47.75,47.75
07-08-2016,48.30,47.75,47.75,47.75,47.75
07-08-2016,47.75,50.10,50.10,50.10,50.10
07-11-2016,50.10,47.60,47.60,47.60,47.60
07-12-2016,50.10,47.60,47.60,47.60,47.60
