Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,431.70,433.10,435.00,428.00,429.60
05-19-2016,429.60,430.30,435.60,430.00,432.30
05-20-2016,432.30,430.30,435.00,426.00,428.70
05-21-2016,428.70,428.00,433.00,427.80,430.50
05-23-2016,430.50,426.95,431.00,422.05,424.65
05-24-2016,424.65,422.50,423.15,416.85,419.60
05-25-2016,419.60,422.00,450.00,422.00,433.25
05-26-2016,433.25,432.65,437.60,431.05,434.40
05-27-2016,434.40,431.00,442.00,431.00,437.35
05-30-2016,437.35,440.00,442.55,436.80,439.35
05-31-2016,439.35,435.00,435.00,406.20,409.75
06-01-2016,409.75,414.25,419.95,409.00,410.90
06-02-2016,410.90,414.75,418.00,408.70,410.75
06-04-2016,410.75,412.55,415.00,402.10,403.35
06-06-2016,403.35,402.55,407.50,395.15,398.05
06-07-2016,398.05,394.00,399.90,388.25,392.30
06-08-2016,392.30,395.00,406.30,395.00,402.05
06-09-2016,402.05,403.00,406.00,400.45,401.40
06-10-2016,401.40,405.00,416.10,398.60,405.50
06-13-2016,405.50,409.50,410.90,398.00,406.80
06-14-2016,406.80,405.90,406.00,401.00,402.15
06-15-2016,402.15,402.20,405.95,401.00,403.30
06-16-2016,403.30,404.00,410.00,400.00,400.20
06-17-2016,400.20,400.00,402.00,392.80,396.85
06-19-2016,396.85,397.80,404.00,394.00,399.30
06-21-2016,399.30,404.00,425.00,398.35,417.85
06-22-2016,417.85,421.00,430.30,413.00,417.40
06-23-2016,417.40,412.00,416.20,407.75,409.65
06-24-2016,409.65,402.10,405.00,387.00,402.00
06-27-2016,402.00,399.75,413.00,398.30,403.60
06-28-2016,403.60,408.40,410.00,402.00,406.60
06-29-2016,406.60,405.00,411.05,401.50,407.85
06-30-2016,407.85,403.00,410.00,403.00,405.55
07-01-2016,405.55,405.00,408.75,404.45,405.45
07-05-2016,405.45,406.75,413.00,406.70,408.65
07-05-2016,408.65,411.40,418.00,410.00,414.10
07-08-2016,414.10,418.50,429.80,415.75,419.05
07-08-2016,419.05,419.00,419.90,412.05,413.50
07-11-2016,413.50,415.00,427.10,412.95,417.50
07-12-2016,417.50,417.30,428.00,416.90,426.00
