Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,24.00,23.50,24.30,23.50,23.90

06-08-2016,23.90,24.00,25.30,23.70,24.85
06-09-2016,24.85,24.90,25.05,23.95,24.20
06-10-2016,24.20,24.50,24.60,24.00,24.10
06-13-2016,24.10,23.90,24.40,23.60,24.10
06-14-2016,24.10,24.00,24.55,23.70,23.85
06-15-2016,23.85,24.20,24.40,23.90,24.00
06-16-2016,24.00,23.90,24.80,23.60,24.45
06-17-2016,24.45,24.35,24.55,23.70,23.80
06-19-2016,23.80,23.85,25.30,23.20,25.05
06-21-2016,25.05,25.30,25.30,24.50,24.65
06-22-2016,24.65,24.80,24.85,23.70,23.85
06-23-2016,23.85,24.00,24.25,23.55,23.80
06-24-2016,23.80,23.00,23.15,21.30,22.90
06-27-2016,22.90,22.80,24.20,22.75,23.65
06-28-2016,23.65,23.20,24.10,23.20,23.70
06-29-2016,23.70,23.85,24.65,23.80,24.30
06-30-2016,24.30,24.45,25.15,24.10,24.20
07-01-2016,24.20,23.95,24.85,23.95,24.25
07-05-2016,24.25,24.50,25.35,24.20,25.15
07-05-2016,25.15,25.30,26.20,24.50,25.80
07-08-2016,25.80,25.90,26.00,24.75,24.90
07-08-2016,24.90,25.00,25.30,24.25,24.75
07-11-2016,24.75,25.05,25.45,24.90,25.10
07-12-2016,25.10,25.20,25.35,24.50,24.65
