Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,21.30,21.50,22.35,20.35,20.70
05-19-2016,20.70,21.30,21.30,21.30,21.30
05-19-2016,21.30,22.00,22.00,22.00,22.00
05-20-2016,22.00,20.55,21.45,20.50,21.45
05-23-2016,21.45,21.05,22.00,21.00,22.00
05-24-2016,22.00,20.65,21.20,17.60,19.90
05-25-2016,19.90,20.80,20.80,20.00,20.00
05-26-2016,20.00,20.85,20.85,20.85,20.85
05-27-2016,20.85,20.95,20.95,19.75,19.75
05-30-2016,19.75,20.05,20.45,20.00,20.45
05-31-2016,20.45,19.25,19.25,18.25,18.25
06-01-2016,18.25,20.70,20.70,19.20,19.20
06-02-2016,19.20,19.00,20.30,19.00,20.15
06-04-2016,20.15,19.80,19.80,18.25,19.00
06-06-2016,19.00,19.15,19.20,18.80,18.80
06-07-2016,18.80,17.90,19.00,17.90,19.00
06-08-2016,19.00,18.65,18.65,18.50,18.50
06-09-2016,19.00,18.65,18.65,18.50,18.50
06-10-2016,18.50,17.55,19.85,17.55,19.85
06-13-2016,19.85,19.00,19.00,18.20,18.20
06-14-2016,19.85,19.00,19.00,18.20,18.20
06-15-2016,18.20,18.55,18.55,18.50,18.50
06-16-2016,18.50,19.35,19.45,19.35,19.45
06-17-2016,19.45,18.60,18.60,18.60,18.60
06-19-2016,18.60,18.30,19.00,18.30,19.00
06-21-2016,19.00,19.00,19.00,18.70,18.70
06-22-2016,18.70,18.30,18.30,18.00,18.05
06-23-2016,18.05,18.50,18.50,18.50,18.50
06-24-2016,18.50,18.90,18.90,18.85,18.90
06-27-2016,18.50,18.90,18.90,18.85,18.90
06-28-2016,18.90,17.65,19.45,17.65,18.00
06-29-2016,18.00,18.70,18.70,18.05,18.05
06-30-2016,18.05,18.65,19.00,18.65,19.00
07-01-2016,19.00,19.65,19.65,18.30,19.20
07-05-2016,19.20,19.20,19.90,18.30,19.15
07-05-2016,19.15,18.70,19.30,18.70,19.30
07-07-2016,19.30,18.60,19.25,18.55,19.25
07-08-2016,19.25,19.50,19.50,19.50,19.50
07-11-2016,19.50,18.60,19.90,18.60,19.90
07-12-2016,19.40,19.40,19.40,18.50,19.40
07-13-2016,19.40,19.40,19.40,18.50,19.15
