Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,52.30,50.15,50.15,50.15,50.15
05-19-2016,50.15,52.65,52.65,52.65,52.65
05-20-2016,52.65,55.25,55.25,55.25,55.25
05-21-2016,55.25,52.70,52.70,52.65,52.65
05-23-2016,52.65,55.25,55.25,55.25,55.25
05-24-2016,52.65,55.25,55.25,55.25,55.25
05-25-2016,55.25,58.00,58.00,58.00,58.00
05-26-2016,55.25,58.00,58.00,58.00,58.00
05-27-2016,55.25,58.00,58.00,58.00,58.00
05-30-2016,58.00,55.80,55.80,55.80,55.80
05-31-2016,55.80,55.80,55.80,55.80,55.80
06-01-2016,55.80,55.80,55.80,55.80,55.80
06-02-2016,55.80,55.80,55.80,55.80,55.80
06-04-2016,55.80,55.80,55.80,55.80,55.80
06-06-2016,55.80,53.10,53.10,53.05,53.05
06-07-2016,55.80,53.10,53.10,53.05,53.05
06-08-2016,55.80,53.10,53.10,53.05,53.05
06-09-2016,55.80,53.10,53.10,53.05,53.05
06-10-2016,53.05,50.50,50.50,50.50,50.50
06-13-2016,50.50,48.05,48.05,48.05,48.05
06-14-2016,50.50,48.05,48.05,48.05,48.05
06-15-2016,50.50,48.05,48.05,48.05,48.05
06-16-2016,50.50,48.05,48.05,48.05,48.05
06-17-2016,50.50,48.05,48.05,48.05,48.05
06-19-2016,48.05,48.00,48.00,48.00,48.00
06-21-2016,48.05,48.00,48.00,48.00,48.00
06-22-2016,48.05,48.00,48.00,48.00,48.00
06-23-2016,48.00,48.05,48.05,48.05,48.05
06-24-2016,48.00,48.05,48.05,48.05,48.05
06-27-2016,48.05,46.05,46.05,46.05,46.05
06-28-2016,48.05,46.05,46.05,46.05,46.05
06-29-2016,48.05,46.05,46.05,46.05,46.05
06-30-2016,48.05,46.05,46.05,46.05,46.05
07-01-2016,46.05,46.00,46.00,46.00,46.00
07-05-2016,46.05,46.00,46.00,46.00,46.00
07-05-2016,46.05,46.00,46.00,46.00,46.00
07-08-2016,46.05,46.00,46.00,46.00,46.00
07-08-2016,46.05,46.00,46.00,46.00,46.00
07-11-2016,46.05,46.00,46.00,46.00,46.00
07-12-2016,46.05,46.00,46.00,46.00,46.00
