Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,9.10,8.65,8.65,8.65,8.65
05-19-2016,9.10,8.65,8.65,8.65,8.65
05-19-2016,9.10,8.65,8.65,8.65,8.65
05-20-2016,9.10,8.65,8.65,8.65,8.65
05-23-2016,9.10,8.65,8.65,8.65,8.65
05-24-2016,9.10,8.65,8.65,8.65,8.65
05-25-2016,9.10,8.65,8.65,8.65,8.65
05-26-2016,9.10,8.65,8.65,8.65,8.65
05-27-2016,9.10,8.65,8.65,8.65,8.65
05-30-2016,9.10,8.65,8.65,8.65,8.65
05-31-2016,9.10,8.65,8.65,8.65,8.65
06-01-2016,9.10,8.65,8.65,8.65,8.65
06-02-2016,9.10,8.65,8.65,8.65,8.65
06-04-2016,9.10,8.65,8.65,8.65,8.65
06-06-2016,9.10,8.65,8.65,8.65,8.65
06-07-2016,9.10,8.65,8.65,8.65,8.65
06-08-2016,8.65,8.25,8.25,8.22,8.22
06-09-2016,8.65,8.25,8.25,8.22,8.22
06-10-2016,8.65,8.25,8.25,8.22,8.22
06-13-2016,8.65,8.25,8.25,8.22,8.22
06-14-2016,8.65,8.25,8.25,8.22,8.22
06-15-2016,8.65,8.25,8.25,8.22,8.22
06-16-2016,8.65,8.25,8.25,8.22,8.22
06-17-2016,8.65,8.25,8.25,8.22,8.22
06-19-2016,8.65,8.25,8.25,8.22,8.22
06-21-2016,8.65,8.25,8.25,8.22,8.22
06-22-2016,8.22,7.81,7.81,7.81,7.81
06-23-2016,8.22,7.81,7.81,7.81,7.81
06-24-2016,8.22,7.81,7.81,7.81,7.81
06-27-2016,8.22,7.81,7.81,7.81,7.81
06-28-2016,8.22,7.81,7.81,7.81,7.81
06-29-2016,8.22,7.81,7.81,7.81,7.81
06-30-2016,8.22,7.81,7.81,7.81,7.81
07-01-2016,8.22,7.81,7.81,7.81,7.81
07-05-2016,8.22,7.81,7.81,7.81,7.81
07-05-2016,8.22,7.81,7.81,7.81,7.81
07-07-2016,8.22,7.81,7.81,7.81,7.81
07-08-2016,8.22,7.81,7.81,7.81,7.81
07-11-2016,8.22,7.81,7.81,7.81,7.81
07-12-2016,8.22,7.81,7.81,7.81,7.81
