Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,26.25,26.50,26.55,26.50,26.50
05-19-2016,26.50,26.15,26.35,26.00,26.00
05-19-2016,26.00,25.85,26.50,25.85,26.00
05-20-2016,26.00,27.00,27.00,25.45,26.00
05-23-2016,26.00,27.65,29.25,26.55,27.25
05-24-2016,27.25,27.25,27.25,25.55,26.10
05-25-2016,26.10,26.10,27.00,26.10,26.25
05-26-2016,26.25,22.25,26.95,22.25,26.70
05-27-2016,26.70,25.70,26.95,25.70,25.85
05-30-2016,25.85,25.20,26.85,25.20,26.35
05-31-2016,26.35,26.00,26.40,25.40,25.40
06-01-2016,25.40,26.00,26.75,26.00,26.70
06-02-2016,26.70,26.65,26.65,25.55,25.90
06-04-2016,25.90,26.10,26.75,26.00,26.45
06-06-2016,26.45,25.50,26.05,25.50,25.95
06-07-2016,25.95,26.00,26.30,25.80,26.30
06-08-2016,26.30,25.15,28.45,25.15,28.00
06-09-2016,28.00,28.10,29.70,28.10,28.90
06-10-2016,28.90,28.10,29.65,28.10,29.20
06-13-2016,29.20,27.25,30.00,27.25,28.50
06-14-2016,29.20,27.25,30.00,27.25,28.50
06-15-2016,28.50,28.30,29.00,28.00,28.80
06-16-2016,28.80,28.10,28.40,27.75,28.10
06-17-2016,28.10,28.25,28.85,28.25,28.80
06-19-2016,28.80,28.70,28.70,27.70,28.30
06-21-2016,28.30,28.00,28.50,27.55,27.75
06-22-2016,27.75,27.65,27.65,27.65,27.65
06-23-2016,27.65,27.95,27.95,27.95,27.95
06-24-2016,27.95,26.00,27.00,25.50,25.75
06-27-2016,25.75,27.20,27.45,27.00,27.25
06-28-2016,27.25,27.70,28.30,27.15,27.40
06-29-2016,27.40,28.00,28.45,27.70,27.70
06-30-2016,27.70,27.80,29.40,27.65,27.70
07-01-2016,27.70,27.15,28.80,27.15,27.60
07-05-2016,27.60,28.20,28.90,27.70,27.80
07-05-2016,27.80,28.45,28.65,28.00,28.40
07-07-2016,28.40,29.25,32.50,28.50,30.50
07-08-2016,30.50,31.00,31.00,30.00,30.35
07-11-2016,30.35,30.15,30.20,28.25,29.00
07-12-2016,28.75,28.80,29.50,28.00,28.95
