Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,79.65,82.00,95.55,82.00,94.10

06-08-2016,94.10,98.95,99.70,92.70,97.45
06-09-2016,97.45,110.00,110.00,89.00,98.90
06-10-2016,98.90,106.00,106.00,93.00,103.10
06-13-2016,103.10,99.50,104.90,99.00,102.95
06-14-2016,102.95,103.90,103.90,89.00,95.10
06-15-2016,95.10,99.00,103.00,96.00,97.95
06-16-2016,97.95,101.95,101.95,95.00,95.00
06-17-2016,95.00,95.05,97.00,95.00,97.00
06-19-2016,97.00,91.60,97.50,91.50,97.50
06-21-2016,97.50,95.00,97.95,93.50,95.00
06-22-2016,95.00,97.00,97.00,89.00,89.80
06-23-2016,89.80,92.90,95.00,90.00,93.05
06-24-2016,93.05,90.00,92.00,86.25,92.00
06-27-2016,92.00,91.00,91.00,90.10,91.00
06-28-2016,91.00,90.00,91.50,89.10,91.50
06-29-2016,91.50,92.10,100.90,91.30,99.60
06-30-2016,99.60,104.70,104.70,94.20,99.00
07-01-2016,99.00,103.80,103.80,97.00,98.60
07-05-2016,98.60,98.00,103.90,94.10,102.95
07-05-2016,102.95,95.70,103.80,95.70,103.75
07-08-2016,103.75,103.50,105.80,103.50,105.25
07-08-2016,105.25,104.95,104.95,95.00,96.55
07-11-2016,96.55,96.50,105.00,96.50,101.00
07-12-2016,101.00,105.00,105.00,101.00,103.00
