Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,90.95,93.60,93.60,90.65,92.50
05-19-2016,92.50,90.60,91.50,89.25,90.05
05-20-2016,90.05,90.05,90.05,90.05,90.05
05-20-2016,90.05,87.55,89.55,87.25,87.55
05-23-2016,87.55,86.90,88.00,85.00,86.10
05-24-2016,86.10,86.80,87.55,81.40,82.25
05-25-2016,82.25,85.00,86.80,83.00,84.15
05-26-2016,84.15,84.50,92.30,84.40,85.85
05-27-2016,85.85,88.00,91.70,85.65,86.00
05-30-2016,86.00,88.00,89.70,85.00,86.50
05-31-2016,86.50,84.70,90.20,84.70,88.40
06-01-2016,88.40,87.10,92.30,87.10,90.35
06-02-2016,90.35,90.00,91.70,89.30,89.30
06-04-2016,89.30,89.50,95.00,89.50,93.05
06-06-2016,93.05,92.00,95.80,88.15,90.75
06-07-2016,90.75,91.00,91.70,89.60,91.70
06-08-2016,91.70,90.90,99.85,90.90,95.15
06-09-2016,95.15,99.90,99.90,90.00,90.30
06-10-2016,90.30,90.55,94.80,90.20,91.40
06-13-2016,91.40,91.00,93.00,89.50,90.70
06-14-2016,90.70,92.00,93.00,91.35,91.80
06-15-2016,91.80,93.65,97.80,93.65,95.30
06-16-2016,95.30,93.00,97.90,91.95,93.00
06-17-2016,93.00,95.80,95.80,90.00,91.00
06-19-2016,91.00,90.80,93.80,90.80,92.90
06-21-2016,92.90,93.90,93.95,90.10,90.60
06-22-2016,90.60,91.00,96.00,91.00,95.55
06-23-2016,95.55,95.70,95.70,91.00,92.00
06-24-2016,92.00,90.00,91.60,87.40,91.40
06-27-2016,91.40,92.90,103.65,91.35,99.90
06-28-2016,99.90,100.00,102.80,96.10,96.95
06-29-2016,96.95,99.80,105.60,97.30,101.95
06-30-2016,101.95,103.25,103.75,100.00,101.85
07-01-2016,101.85,102.00,109.00,100.30,107.60
07-05-2016,107.60,109.90,114.50,107.30,110.25
07-05-2016,110.25,110.00,111.50,105.30,107.95
07-08-2016,107.95,108.00,108.00,103.00,104.00
07-08-2016,104.00,102.50,105.00,101.00,103.45
07-11-2016,103.45,104.80,108.00,102.00,104.40
07-12-2016,104.40,103.50,106.00,100.05,101.70
