Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,29.75,29.80,30.25,28.30,28.30
05-19-2016,29.75,29.80,30.25,28.30,28.30
05-19-2016,28.30,23.00,29.80,23.00,29.80
05-20-2016,29.80,32.00,32.00,29.25,29.25
05-23-2016,29.80,32.00,32.00,29.25,29.25
05-24-2016,29.80,32.00,32.00,29.25,29.25
05-25-2016,29.80,32.00,32.00,29.25,29.25
05-26-2016,29.80,32.00,32.00,29.25,29.25
05-27-2016,29.80,32.00,32.00,29.25,29.25
05-30-2016,29.80,32.00,32.00,29.25,29.25
05-31-2016,29.80,32.00,32.00,29.25,29.25
06-01-2016,29.25,28.45,28.45,28.45,28.45
06-02-2016,28.45,32.00,32.00,29.70,29.80
06-04-2016,29.80,32.20,32.20,26.10,28.95
06-06-2016,29.80,32.20,32.20,26.10,28.95
06-07-2016,29.80,32.20,32.20,26.10,28.95
06-08-2016,28.95,28.85,28.85,28.85,28.85
06-09-2016,28.85,23.20,25.20,23.20,25.20
06-10-2016,28.85,23.20,25.20,23.20,25.20
06-13-2016,28.85,23.20,25.20,23.20,25.20
06-14-2016,28.85,23.20,25.20,23.20,25.20
06-15-2016,28.85,23.20,25.20,23.20,25.20
06-16-2016,25.20,26.50,26.50,26.50,26.50
06-17-2016,25.20,26.50,26.50,26.50,26.50
06-19-2016,25.20,26.50,26.50,26.50,26.50
06-21-2016,25.20,26.50,26.50,26.50,26.50
06-22-2016,25.20,26.50,26.50,26.50,26.50
06-23-2016,25.20,26.50,26.50,26.50,26.50
06-24-2016,25.20,26.50,26.50,26.50,26.50
06-27-2016,25.20,26.50,26.50,26.50,26.50
06-28-2016,26.50,21.50,24.25,21.50,24.25
06-29-2016,24.25,22.30,24.30,22.30,24.30
06-30-2016,24.25,22.30,24.30,22.30,24.30
07-01-2016,24.25,22.30,24.30,22.30,24.30
07-05-2016,24.25,22.30,24.30,22.30,24.30
07-05-2016,24.25,22.30,24.30,22.30,24.30
07-07-2016,24.30,22.00,25.25,22.00,25.00
07-08-2016,24.30,22.00,25.25,22.00,25.00
07-11-2016,24.30,22.00,25.25,22.00,25.00
07-12-2016,24.30,22.00,25.25,22.00,25.00
