Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1.36,1.42,1.42,1.37,1.42
05-19-2016,1.42,1.37,1.43,1.37,1.42
05-20-2016,1.42,1.35,1.36,1.35,1.35
05-20-2016,1.35,1.29,1.41,1.29,1.40
05-23-2016,1.40,1.47,1.47,1.36,1.36
05-24-2016,1.36,1.42,1.42,1.40,1.41
05-25-2016,1.41,1.34,1.40,1.34,1.34
05-26-2016,1.34,1.30,1.40,1.30,1.38
05-27-2016,1.38,1.32,1.44,1.32,1.44
05-30-2016,1.44,1.49,1.49,1.37,1.37
05-31-2016,1.37,1.37,1.43,1.33,1.34
06-01-2016,1.34,1.39,1.40,1.31,1.40
06-02-2016,1.40,1.34,1.44,1.34,1.44
06-04-2016,1.44,1.45,1.45,1.37,1.37
06-06-2016,1.37,1.33,1.43,1.33,1.38
06-07-2016,1.38,1.39,1.44,1.38,1.38
06-08-2016,1.38,1.40,1.42,1.35,1.37
06-09-2016,1.37,1.43,1.43,1.35,1.38
06-10-2016,1.38,1.37,1.44,1.36,1.42
06-13-2016,1.42,1.42,1.49,1.42,1.49
06-14-2016,1.49,1.55,1.55,1.43,1.44
06-15-2016,1.44,1.51,1.51,1.43,1.48
06-16-2016,1.48,1.48,1.54,1.48,1.49
06-17-2016,1.49,1.44,1.53,1.44,1.45
06-19-2016,1.45,1.43,1.45,1.43,1.45
06-21-2016,1.45,1.47,1.52,1.43,1.46
06-22-2016,1.46,1.43,1.43,1.42,1.42
06-23-2016,1.42,1.49,1.49,1.41,1.42
06-24-2016,1.42,1.48,1.48,1.39,1.48
06-27-2016,1.48,1.45,1.45,1.45,1.45
06-28-2016,1.45,1.43,1.44,1.43,1.44
06-29-2016,1.44,1.42,1.51,1.42,1.45
06-30-2016,1.45,1.43,1.52,1.43,1.52
07-01-2016,1.52,1.45,1.59,1.45,1.55
07-05-2016,1.55,1.50,1.62,1.50,1.62
07-05-2016,1.62,1.63,1.63,1.54,1.60
07-07-2016,1.60,1.54,1.55,1.52,1.54
07-08-2016,1.54,1.48,1.61,1.48,1.61
07-11-2016,1.61,1.55,1.60,1.55,1.55
07-12-2016,1.55,1.59,1.62,1.57,1.62
