Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,68.30,68.20,70.75,68.20,69.10

06-08-2016,69.10,69.50,70.30,69.45,69.85
06-09-2016,69.85,70.05,72.70,69.70,71.40
06-10-2016,71.40,71.95,71.95,70.10,70.55
06-13-2016,70.55,70.10,70.10,69.15,69.65
06-14-2016,69.65,70.30,71.00,69.55,70.15
06-15-2016,70.15,70.45,71.30,70.00,70.60
06-16-2016,70.60,70.60,71.00,69.60,70.50
06-17-2016,70.50,70.55,73.80,70.55,71.70
06-19-2016,71.70,71.05,72.05,71.00,71.45
06-21-2016,71.45,72.05,72.05,71.30,71.40
06-22-2016,71.40,71.75,72.50,70.65,71.00
06-23-2016,71.00,71.65,71.65,70.10,70.75
06-24-2016,70.75,69.70,70.00,68.50,69.45
06-27-2016,69.45,69.35,70.35,69.10,69.60
06-28-2016,69.60,69.85,71.25,69.85,70.20
06-29-2016,70.20,70.80,72.30,70.70,71.35
06-30-2016,71.35,71.90,72.80,71.35,71.90
07-01-2016,71.90,72.70,73.00,72.00,72.20
07-05-2016,72.20,73.00,73.75,72.35,72.70
07-05-2016,72.70,72.65,73.60,72.40,72.85
07-07-2016,72.85,72.90,74.00,72.50,72.60
07-08-2016,72.60,72.95,72.95,72.00,72.15
07-11-2016,72.15,72.55,76.50,72.55,74.45
07-12-2016,74.45,75.00,76.50,73.35,76.10
