Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,236.50,235.50,239.00,231.10,239.00

06-08-2016,239.00,240.00,244.95,238.50,240.00
06-09-2016,240.00,240.00,248.95,235.05,246.95
06-10-2016,246.95,236.15,249.70,236.15,237.75
06-13-2016,237.75,230.50,237.00,230.00,235.25
06-14-2016,235.25,227.00,247.00,227.00,246.65
06-15-2016,246.65,247.00,258.95,238.50,257.20
06-16-2016,257.20,261.20,270.05,247.00,269.15
06-17-2016,269.15,282.60,282.60,271.00,282.55
06-19-2016,282.55,275.00,296.50,270.00,282.50
06-21-2016,282.50,280.00,287.95,274.60,285.00
06-22-2016,285.00,280.00,291.80,280.00,289.20
06-23-2016,289.20,291.80,293.00,281.05,290.35
06-24-2016,290.35,276.00,289.90,275.85,287.40
06-27-2016,287.40,279.00,289.35,279.00,287.35
06-28-2016,287.35,279.10,285.00,275.40,276.10
06-29-2016,276.10,284.80,284.80,276.10,279.50
06-30-2016,279.50,280.00,291.70,278.00,278.30
07-01-2016,278.30,278.50,280.00,278.00,280.00
07-05-2016,280.00,283.00,283.00,276.00,278.70
07-05-2016,278.70,285.00,290.00,278.00,279.15
07-08-2016,279.15,285.00,285.00,278.00,282.00
07-08-2016,282.00,289.95,289.95,273.00,278.95
07-11-2016,278.95,287.00,288.50,279.00,280.00
07-12-2016,280.55,279.00,284.50,276.45,277.25
