Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,41.40,42.90,44.00,42.00,42.10
05-19-2016,42.10,42.50,43.90,42.00,42.00
05-20-2016,42.00,43.95,43.95,41.25,41.25
05-21-2016,41.25,40.70,42.00,40.70,42.00
05-23-2016,41.25,40.70,42.00,40.70,42.00
05-24-2016,42.00,40.45,42.55,40.45,42.55
05-25-2016,42.55,40.70,42.80,40.70,42.80
05-26-2016,42.80,40.10,43.80,40.10,43.80
05-27-2016,43.80,41.00,41.00,37.50,39.00
05-30-2016,39.00,39.00,39.00,37.30,38.25
05-31-2016,38.25,38.95,38.95,31.10,33.00
06-01-2016,33.00,34.00,34.70,31.50,33.65
06-02-2016,33.65,34.50,35.00,34.50,34.90
06-04-2016,34.90,34.95,35.00,34.20,34.50
06-06-2016,34.50,34.50,34.50,34.50,34.50
06-07-2016,34.50,34.10,39.90,34.00,37.60
06-08-2016,37.60,41.00,41.90,39.90,41.15
06-09-2016,41.15,42.00,42.00,40.00,41.40
06-10-2016,41.15,42.00,42.00,40.00,41.40
06-13-2016,41.40,39.10,42.95,39.10,41.20
06-14-2016,41.20,39.50,42.00,39.50,41.95
06-15-2016,41.95,41.95,41.95,40.00,41.95
06-16-2016,41.95,41.70,41.70,39.00,39.45
06-17-2016,39.45,39.45,41.85,39.00,41.85
06-19-2016,41.85,38.65,39.05,38.65,39.00
06-21-2016,39.00,39.00,41.75,39.00,41.75
06-22-2016,41.75,38.50,39.50,38.20,39.50
06-23-2016,39.50,38.00,40.00,38.00,40.00
06-24-2016,40.00,40.00,44.40,40.00,42.95
06-27-2016,42.95,44.50,44.50,42.00,42.60
06-28-2016,42.60,42.90,44.00,42.60,44.00
06-29-2016,44.00,43.90,44.00,42.05,43.80
06-30-2016,44.00,43.90,44.00,42.05,43.80
07-01-2016,43.80,41.55,42.40,41.55,42.15
07-05-2016,42.15,43.80,44.00,41.50,42.85
07-05-2016,42.85,41.05,42.00,41.00,41.95
07-08-2016,41.95,42.30,42.30,42.00,42.10
07-08-2016,42.10,41.15,41.15,41.00,41.00
07-11-2016,41.00,42.00,42.95,41.00,41.00
07-12-2016,42.65,42.00,43.10,42.00,43.10
