Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,13.00,13.04,13.30,12.60,12.73
05-19-2016,12.73,12.69,12.78,12.45,12.67
05-20-2016,12.67,12.69,12.75,12.60,12.62
05-21-2016,12.62,12.74,12.90,12.60,12.62
05-23-2016,12.62,12.60,12.64,12.10,12.20
05-24-2016,12.20,12.34,12.38,12.10,12.22
05-25-2016,12.22,12.27,13.15,12.27,12.80
05-26-2016,12.80,12.60,12.79,12.32,12.55
05-27-2016,12.55,12.54,13.22,12.40,12.74
05-30-2016,12.74,12.50,12.60,12.35,12.50
05-31-2016,12.50,12.35,12.50,12.21,12.28
06-01-2016,12.28,12.31,12.45,12.18,12.32
06-02-2016,12.32,12.25,12.43,12.25,12.28
06-04-2016,12.28,12.40,12.40,11.72,11.87
06-06-2016,11.87,11.83,12.42,11.83,12.20
06-07-2016,12.31,12.60,12.75,11.90,11.96
06-08-2016,11.96,12.01,12.10,11.93,12.00
06-09-2016,12.00,11.80,11.93,11.49,11.63
06-10-2016,11.63,11.70,12.20,11.70,12.05
06-13-2016,12.05,11.72,12.30,11.56,11.88
06-14-2016,11.88,11.85,12.24,11.83,12.11
06-15-2016,12.11,12.18,12.20,11.97,11.98
06-16-2016,11.98,11.25,11.99,11.25,11.80
06-17-2016,11.80,11.59,11.75,11.55,11.68
06-19-2016,11.68,11.70,12.00,11.67,11.79
06-21-2016,11.79,11.99,12.00,11.61,11.69
06-22-2016,11.69,11.75,11.96,11.70,11.75
06-23-2016,11.75,11.90,11.90,11.37,11.57
06-24-2016,11.57,11.69,12.00,10.25,11.85
06-27-2016,11.85,12.05,12.20,11.70,11.84
06-28-2016,11.84,12.11,12.14,11.75,11.79
06-29-2016,11.79,11.85,12.63,11.51,12.30
06-30-2016,12.30,12.59,12.59,11.95,12.04
07-01-2016,12.04,10.55,12.30,10.55,12.07
07-05-2016,12.07,12.20,12.73,12.02,12.35
07-05-2016,12.35,12.70,13.14,12.50,12.75
07-08-2016,12.75,13.00,14.55,13.00,13.42
07-08-2016,13.42,13.49,13.87,12.90,13.66
07-11-2016,13.66,14.45,14.90,13.97,14.07
07-12-2016,14.07,14.18,14.40,13.72,13.80
