Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1311.90,1320.00,1326.00,1282.00,1288.30
05-19-2016,1288.30,1283.80,1294.50,1261.00,1266.55
05-20-2016,1266.55,1266.00,1280.30,1250.00,1253.25
05-21-2016,1253.25,1250.00,1261.35,1201.00,1208.50
05-23-2016,1208.50,1209.00,1222.75,1176.15,1188.15
05-24-2016,1188.15,1170.00,1193.40,1125.05,1140.65
05-25-2016,1140.65,1160.00,1230.00,1159.20,1199.45
05-26-2016,1199.45,1205.00,1206.00,1174.10,1189.85
05-27-2016,1189.85,1199.90,1259.90,1195.00,1208.30
05-30-2016,1208.30,1218.00,1249.75,1217.90,1222.40
05-31-2016,1222.40,1231.90,1239.45,1201.10,1216.80
06-01-2016,1216.80,1220.00,1239.90,1210.00,1213.65
06-02-2016,1213.65,1218.00,1221.75,1189.15,1207.40
06-04-2016,1207.40,1218.45,1238.00,1201.50,1205.25
06-06-2016,1205.25,1190.05,1210.80,1180.00,1193.70
06-07-2016,1193.70,1195.70,1222.65,1186.35,1203.30
06-08-2016,1203.30,1209.25,1225.55,1191.10,1204.55
06-09-2016,1204.55,1210.10,1215.00,1185.25,1191.60
06-10-2016,1191.60,1181.00,1223.20,1181.00,1192.05
06-13-2016,1192.05,1180.00,1204.95,1168.90,1182.75
06-14-2016,1182.75,1207.00,1219.00,1192.35,1198.10
06-15-2016,1198.10,1205.50,1213.65,1155.75,1177.55
06-16-2016,1177.55,1176.00,1184.25,1145.00,1158.30
06-17-2016,1158.30,1168.00,1176.50,1140.25,1145.40
06-19-2016,1145.40,1147.70,1168.20,1137.00,1149.95
06-21-2016,1149.95,1156.00,1165.00,1140.50,1150.55
06-22-2016,1150.55,1153.05,1157.10,1138.00,1141.05
06-23-2016,1141.05,1125.00,1148.80,1120.10,1126.60
06-24-2016,1126.60,1111.00,1126.35,1085.00,1119.60
06-27-2016,1119.60,1125.10,1143.00,1123.00,1132.00
06-28-2016,1132.00,1140.60,1158.75,1130.00,1141.50
06-29-2016,1141.50,1152.00,1269.00,1152.00,1237.75
06-30-2016,1237.75,1250.00,1279.00,1244.60,1259.50
07-01-2016,1259.50,1268.90,1270.90,1222.00,1229.55
07-05-2016,1229.55,1236.20,1254.15,1229.05,1237.15
07-05-2016,1237.15,1246.00,1249.95,1215.00,1222.85
07-08-2016,1222.85,1225.50,1250.45,1214.95,1224.80
07-08-2016,1224.80,1221.75,1224.45,1205.10,1213.65
07-11-2016,1213.65,1231.40,1252.00,1225.00,1233.10
07-12-2016,1233.10,1238.00,1248.00,1229.40,1234.20
