Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,221.90,219.10,226.00,219.10,222.00
05-19-2016,222.00,220.30,223.20,220.10,222.30
05-20-2016,222.30,222.30,224.00,216.00,217.00
05-20-2016,217.00,216.40,219.90,214.00,215.00
05-23-2016,215.00,219.75,219.75,210.00,212.20
05-24-2016,212.20,210.00,210.00,204.00,207.55
05-25-2016,207.55,205.75,216.20,205.75,215.15
05-26-2016,215.15,215.00,215.00,212.50,214.65
05-27-2016,214.65,214.50,214.90,210.00,210.25
05-30-2016,210.25,212.45,214.00,210.10,213.45
05-31-2016,213.45,212.10,214.50,212.00,212.05
06-01-2016,212.05,214.00,215.00,207.00,207.05
06-02-2016,207.05,208.00,210.00,207.50,209.10
06-04-2016,209.10,212.85,212.85,210.00,210.00
06-06-2016,210.00,210.00,218.00,210.00,216.85
06-07-2016,216.85,219.00,234.00,218.15,228.15
06-08-2016,228.15,233.00,235.00,230.50,232.50
06-09-2016,232.50,233.95,245.00,231.95,243.30
06-10-2016,243.30,245.00,245.20,235.00,237.90
06-13-2016,237.90,237.75,237.80,235.00,235.70
06-14-2016,235.70,235.00,237.60,231.00,232.75
06-15-2016,232.75,232.75,241.90,230.20,231.85
06-16-2016,231.85,231.10,239.00,227.20,233.00
06-17-2016,233.00,238.70,243.05,233.35,237.60
06-19-2016,237.60,237.80,238.00,233.25,235.90
06-21-2016,235.90,237.00,239.00,232.00,233.60
06-22-2016,233.60,235.00,236.50,233.00,233.95
06-23-2016,233.95,232.20,233.05,231.00,231.30
06-24-2016,231.30,228.40,231.75,221.20,227.45
06-27-2016,227.45,224.40,234.00,224.40,229.75
06-28-2016,229.75,230.00,230.90,224.05,225.40
06-29-2016,225.40,226.00,226.00,222.25,223.40
06-30-2016,223.40,224.65,231.00,223.05,226.90
07-01-2016,226.90,227.00,233.00,226.00,230.75
07-05-2016,230.75,232.00,242.20,230.00,235.80
07-05-2016,235.80,232.25,241.00,228.00,228.45
07-08-2016,228.45,231.85,232.00,225.00,226.55
07-08-2016,226.55,224.35,227.00,224.35,225.35
07-11-2016,225.35,226.00,231.40,222.15,223.60
07-12-2016,223.60,221.55,227.90,218.55,220.35
