Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,0.49,0.50,0.50,0.50,0.50

06-08-2016,0.49,0.50,0.50,0.50,0.50
06-09-2016,0.50,0.48,0.48,0.48,0.48
06-10-2016,0.48,0.46,0.50,0.46,0.47
06-13-2016,0.48,0.46,0.50,0.46,0.47
06-14-2016,0.48,0.46,0.50,0.46,0.47
06-15-2016,0.48,0.46,0.50,0.46,0.47
06-16-2016,0.47,0.45,0.48,0.45,0.48
06-17-2016,0.48,0.46,0.48,0.46,0.48
06-19-2016,0.48,0.46,0.48,0.46,0.48
06-21-2016,0.48,0.46,0.46,0.46,0.46
06-22-2016,0.48,0.46,0.46,0.46,0.46
06-23-2016,0.48,0.46,0.46,0.46,0.46
06-24-2016,0.48,0.46,0.46,0.46,0.46
06-27-2016,0.46,0.44,0.45,0.44,0.45
06-28-2016,0.46,0.44,0.45,0.44,0.45
06-29-2016,0.46,0.44,0.45,0.44,0.45
06-30-2016,0.46,0.44,0.45,0.44,0.45
07-01-2016,0.45,0.44,0.47,0.43,0.47
07-05-2016,0.45,0.44,0.47,0.43,0.47
07-05-2016,0.47,0.45,0.45,0.45,0.45
07-07-2016,0.45,0.43,0.43,0.43,0.43
07-08-2016,0.43,0.41,0.41,0.41,0.41
07-11-2016,0.43,0.41,0.41,0.41,0.41
07-12-2016,0.41,0.39,0.39,0.39,0.39
