Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,23.25,23.40,23.50,23.05,23.40

06-08-2016,23.40,23.95,23.95,23.00,23.35
06-09-2016,23.35,23.50,23.80,23.25,23.60
06-10-2016,23.60,23.80,23.80,23.30,23.45
06-13-2016,23.45,23.95,23.95,23.10,23.20
06-14-2016,23.20,23.80,23.80,23.20,23.60
06-15-2016,23.60,24.25,24.30,23.50,23.65
06-16-2016,23.65,24.90,24.90,23.55,24.00
06-17-2016,24.00,24.50,24.50,23.80,23.95
06-19-2016,23.95,23.95,23.95,23.55,23.65
06-21-2016,23.65,24.10,24.10,23.65,23.70
06-22-2016,23.70,24.20,24.20,23.60,23.65
06-23-2016,23.65,24.20,24.20,23.25,23.35
06-24-2016,23.35,24.00,24.00,22.65,23.50
06-27-2016,23.50,23.75,23.85,23.10,23.20
06-28-2016,23.20,23.45,23.45,22.85,23.10
06-29-2016,23.10,23.25,24.00,23.15,23.35
06-30-2016,23.35,23.75,25.15,23.45,23.55
07-01-2016,23.55,23.70,23.90,23.50,23.70
07-05-2016,23.70,24.00,24.25,23.70,23.95
07-05-2016,23.95,23.80,24.20,23.80,23.90
07-08-2016,23.90,24.30,24.30,23.90,23.90
07-08-2016,23.90,24.05,24.05,23.80,23.85
07-11-2016,23.85,23.85,24.15,23.80,23.95
07-12-2016,23.95,23.90,24.40,23.90,23.95
