Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,648.75,630.00,633.25,630.00,630.75
05-19-2016,630.75,630.00,660.00,630.00,652.50
05-19-2016,652.50,632.00,674.00,631.00,658.50
05-20-2016,658.50,635.25,635.25,632.00,632.00
05-23-2016,632.00,625.55,630.00,617.00,622.45
05-24-2016,622.45,620.05,620.05,620.00,620.00
05-25-2016,620.00,619.00,625.30,617.25,621.80
05-26-2016,621.80,630.65,635.00,620.00,620.40
05-27-2016,620.40,621.15,621.15,621.10,621.10
05-30-2016,621.10,738.00,738.00,615.00,635.00
05-31-2016,635.00,618.05,618.05,618.00,618.00
06-01-2016,635.00,618.05,618.05,618.00,618.00
06-02-2016,618.00,618.55,618.55,615.00,615.10
06-04-2016,615.10,619.00,623.00,617.10,622.65
06-06-2016,622.65,638.00,638.00,618.00,619.60
06-07-2016,619.60,620.05,622.00,620.05,622.00
06-08-2016,622.00,620.10,624.70,620.00,624.70
06-09-2016,624.70,621.05,621.05,620.00,620.45
06-10-2016,620.45,620.00,620.00,620.00,620.00
06-13-2016,620.00,610.15,610.15,610.10,610.10
06-14-2016,610.10,612.00,612.00,612.00,612.00
06-15-2016,610.10,612.00,612.00,612.00,612.00
06-16-2016,612.00,613.05,629.00,613.00,613.00
06-17-2016,613.00,613.00,622.00,611.05,612.60
06-19-2016,612.60,613.25,623.00,613.00,623.00
06-21-2016,623.00,615.15,621.00,615.10,621.00
06-22-2016,623.00,615.15,621.00,615.10,621.00
06-23-2016,621.00,640.00,736.40,635.95,711.55
06-24-2016,711.55,635.00,669.00,625.00,660.45
06-27-2016,660.45,685.00,735.00,655.25,712.90
06-28-2016,712.90,731.45,731.50,702.05,702.05
06-29-2016,702.05,718.00,718.00,708.00,709.00
06-30-2016,709.00,676.55,725.00,676.50,719.50
07-01-2016,719.50,724.80,745.90,724.80,742.95
07-05-2016,742.95,726.55,739.90,725.05,728.05
07-05-2016,728.05,720.00,745.00,719.00,735.05
07-07-2016,735.05,750.00,813.55,730.05,778.20
07-08-2016,778.20,777.00,777.00,735.00,773.00
07-11-2016,773.00,749.55,858.70,746.00,825.85
07-12-2016,825.85,835.45,840.00,786.00,793.50
