Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,40.30,39.65,41.00,39.50,40.55
05-19-2016,40.55,43.85,43.85,39.65,40.50
05-20-2016,40.50,40.95,40.95,40.45,40.50
05-21-2016,40.50,40.60,42.75,40.00,40.05
05-23-2016,40.05,41.00,42.00,40.35,40.40
05-24-2016,40.40,41.50,41.70,39.50,39.80
05-25-2016,39.80,41.35,41.35,39.40,40.00
05-26-2016,40.00,42.00,42.00,39.10,39.20
05-27-2016,39.20,39.85,42.70,39.50,40.65
05-30-2016,40.65,43.65,43.65,40.00,40.05
05-31-2016,40.05,41.20,41.20,40.05,40.90
06-01-2016,40.90,40.50,41.70,40.50,40.50
06-02-2016,40.50,40.00,41.45,38.55,41.00
06-04-2016,41.00,39.00,41.25,39.00,40.70
06-06-2016,40.70,42.00,42.00,39.10,41.65
06-07-2016,41.65,40.95,40.95,38.00,40.60
06-08-2016,40.60,39.15,40.90,39.00,40.55
06-09-2016,40.55,40.70,40.70,40.10,40.10
06-10-2016,40.10,43.00,43.00,38.60,39.50
06-13-2016,39.50,42.80,42.80,37.00,37.80
06-14-2016,37.80,42.80,42.80,39.80,40.00
06-15-2016,40.00,40.60,40.60,38.05,38.60
06-16-2016,38.60,39.80,40.30,36.10,39.90
06-18-2016,39.90,40.90,40.90,38.60,40.30
06-19-2016,40.30,38.00,40.30,38.00,39.95
06-21-2016,39.95,40.30,40.30,38.15,38.25
06-22-2016,38.25,40.25,40.25,38.15,40.00
06-23-2016,40.00,39.90,41.20,38.20,39.90
06-24-2016,39.90,37.15,39.90,37.15,39.55
06-27-2016,39.55,42.70,42.70,38.55,38.55
06-28-2016,38.55,41.90,41.90,36.45,37.45
06-29-2016,37.45,42.20,42.20,36.70,37.00
06-30-2016,37.00,39.95,39.95,37.55,37.55
07-01-2016,37.55,40.00,40.00,37.05,39.00
07-05-2016,39.00,43.40,43.40,37.20,39.95
07-05-2016,39.95,41.00,41.00,38.30,38.70
07-08-2016,38.70,40.05,40.05,38.50,39.85
07-08-2016,39.85,40.05,40.05,38.55,39.10
07-11-2016,39.10,39.00,41.00,37.00,38.60
07-12-2016,37.45,41.90,41.90,37.50,40.00
