Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,30.25,28.75,28.75,28.75,28.75
05-19-2016,28.75,29.80,29.80,29.80,29.80
05-20-2016,29.80,31.20,31.20,31.20,31.20
05-20-2016,29.80,31.20,31.20,31.20,31.20
05-23-2016,31.20,31.15,31.15,29.65,30.40
05-24-2016,30.40,28.90,28.90,28.90,28.90
05-25-2016,28.90,29.10,29.10,29.10,29.10
05-26-2016,28.90,29.10,29.10,29.10,29.10
05-27-2016,29.10,28.00,30.00,28.00,28.00
05-30-2016,29.10,28.00,30.00,28.00,28.00
05-31-2016,28.00,28.95,29.40,28.95,29.40
06-01-2016,29.40,30.55,30.55,30.55,30.55
06-02-2016,29.40,30.55,30.55,30.55,30.55
06-04-2016,30.55,33.50,33.50,33.50,33.50
06-06-2016,30.55,33.50,33.50,33.50,33.50
06-07-2016,33.50,36.85,36.85,36.85,36.85
06-08-2016,33.50,36.85,36.85,36.85,36.85
06-09-2016,36.85,39.00,39.00,39.00,39.00
06-10-2016,36.85,39.00,39.00,39.00,39.00
06-13-2016,36.85,39.00,39.00,39.00,39.00
06-14-2016,36.85,39.00,39.00,39.00,39.00
06-15-2016,36.85,39.00,39.00,39.00,39.00
06-16-2016,36.85,39.00,39.00,39.00,39.00
06-17-2016,36.85,39.00,39.00,39.00,39.00
06-19-2016,36.85,39.00,39.00,39.00,39.00
06-21-2016,36.85,39.00,39.00,39.00,39.00
06-22-2016,36.85,39.00,39.00,39.00,39.00
06-23-2016,36.85,39.00,39.00,39.00,39.00
06-24-2016,36.85,39.00,39.00,39.00,39.00
06-27-2016,36.85,39.00,39.00,39.00,39.00
06-28-2016,36.85,39.00,39.00,39.00,39.00
06-29-2016,36.85,39.00,39.00,39.00,39.00
06-30-2016,39.00,39.05,39.05,39.05,39.05
07-01-2016,39.05,42.50,42.50,42.45,42.45
07-05-2016,42.45,39.05,46.50,39.05,46.50
07-05-2016,46.50,49.95,49.95,49.95,49.95
07-07-2016,46.50,49.95,49.95,49.95,49.95
07-08-2016,49.95,47.50,47.50,47.50,47.50
07-11-2016,49.95,47.50,47.50,47.50,47.50
07-12-2016,49.95,47.50,47.50,47.50,47.50
