Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1.64,1.64,1.72,1.62,1.62
05-19-2016,1.62,1.62,1.70,1.62,1.63
05-19-2016,1.63,1.63,1.71,1.62,1.62
05-20-2016,1.62,1.65,1.70,1.62,1.62
05-23-2016,1.62,1.70,1.70,1.62,1.62
05-24-2016,1.62,1.70,1.70,1.62,1.62
05-25-2016,1.62,1.62,1.70,1.62,1.69
05-26-2016,1.69,1.75,1.76,1.74,1.74
05-27-2016,1.74,1.66,1.81,1.66,1.66
05-30-2016,1.66,1.64,1.64,1.63,1.64
05-31-2016,1.64,1.62,1.62,1.62,1.62
06-01-2016,1.62,1.70,1.70,1.54,1.54
06-02-2016,1.54,1.54,1.61,1.47,1.61
06-04-2016,1.61,1.55,1.55,1.53,1.53
06-06-2016,1.53,1.46,1.46,1.46,1.46
06-07-2016,1.46,1.39,1.46,1.39,1.39
06-08-2016,1.39,1.33,1.41,1.33,1.39
06-09-2016,1.39,1.33,1.45,1.33,1.35
06-10-2016,1.35,1.30,1.30,1.29,1.29
06-13-2016,1.29,1.25,1.29,1.23,1.23
06-14-2016,1.23,1.23,1.23,1.17,1.23
06-15-2016,1.23,1.23,1.29,1.19,1.24
06-16-2016,1.24,1.30,1.30,1.18,1.29
06-17-2016,1.29,1.23,1.35,1.23,1.35
06-19-2016,1.35,1.41,1.41,1.30,1.30
06-21-2016,1.30,1.30,1.30,1.30,1.30
06-22-2016,1.30,1.36,1.36,1.24,1.29
06-23-2016,1.29,1.25,1.35,1.23,1.35
06-24-2016,1.35,1.30,1.30,1.29,1.29
06-27-2016,1.29,1.29,1.35,1.23,1.29
06-28-2016,1.29,1.30,1.30,1.23,1.25
06-29-2016,1.25,1.31,1.31,1.19,1.22
06-30-2016,1.22,1.28,1.28,1.16,1.21
07-01-2016,1.21,1.33,1.33,1.16,1.31
07-05-2016,1.31,1.33,1.44,1.33,1.44
07-05-2016,1.44,1.50,1.58,1.50,1.56
07-07-2016,1.56,1.57,1.57,1.57,1.57
07-08-2016,1.57,1.57,1.57,1.57,1.57
07-11-2016,1.57,1.50,1.64,1.50,1.64
07-12-2016,1.64,1.64,1.64,1.56,1.64
