Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,290.80,290.00,297.00,280.00,285.30
05-19-2016,285.30,283.00,284.90,273.20,280.90
05-20-2016,280.90,279.00,289.90,270.00,273.60
05-21-2016,273.60,272.30,279.80,270.00,273.70
05-23-2016,273.70,274.15,274.15,260.00,261.60
05-24-2016,261.60,266.00,268.90,258.55,260.90
05-25-2016,260.90,265.00,279.80,260.00,268.45
05-26-2016,268.45,268.00,272.95,266.50,267.40
05-27-2016,267.40,265.05,270.40,261.50,263.95
05-30-2016,263.95,269.00,269.00,240.50,241.40
05-31-2016,241.40,226.00,231.00,212.85,224.05
06-01-2016,224.05,225.00,247.60,222.65,224.65
06-02-2016,224.65,223.05,226.65,214.00,216.40
06-04-2016,216.40,220.15,223.00,215.00,216.55
06-06-2016,216.55,218.40,224.60,216.00,216.45
06-07-2016,216.45,219.00,224.60,216.15,219.90
06-08-2016,219.90,220.00,222.50,219.00,221.00
06-09-2016,221.00,219.20,223.35,219.00,222.00
06-10-2016,222.00,223.50,223.50,220.50,221.50
06-13-2016,221.50,224.80,224.80,220.00,221.15
06-14-2016,221.15,222.85,223.00,220.00,222.00
06-15-2016,222.00,223.45,230.00,221.00,224.35
06-16-2016,224.35,225.50,231.00,225.50,228.45
06-17-2016,228.45,231.00,236.50,228.70,232.65
06-19-2016,232.65,233.20,236.00,230.75,234.05
06-21-2016,234.05,234.00,245.00,233.50,236.20
06-22-2016,236.20,243.55,243.55,236.00,236.30
06-23-2016,236.30,238.00,238.00,234.10,235.95
06-24-2016,235.95,234.00,234.00,219.00,220.95
06-27-2016,220.95,222.00,226.60,222.00,222.90
06-28-2016,222.90,224.40,227.00,224.25,224.60
06-29-2016,224.60,228.00,228.80,225.55,226.35
06-30-2016,226.35,228.75,230.00,226.00,228.45
07-01-2016,228.45,229.00,268.00,229.00,242.75
07-05-2016,242.75,244.40,270.00,244.40,254.00
07-05-2016,254.00,257.50,257.50,248.65,249.90
07-08-2016,249.90,250.10,251.70,245.00,249.75
07-08-2016,249.75,245.40,254.70,242.80,249.35
07-11-2016,249.35,250.80,251.00,244.05,246.50
07-12-2016,246.50,252.00,252.00,242.80,243.60
