Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,21.90,21.10,24.55,21.10,22.85
05-19-2016,22.85,22.60,23.00,22.60,22.95
05-20-2016,22.95,22.45,22.45,22.30,22.30
05-20-2016,22.30,22.50,23.70,22.50,23.50
05-23-2016,23.50,23.70,23.70,21.60,22.00
05-24-2016,22.00,22.90,24.00,21.30,23.35
05-25-2016,23.35,23.30,24.00,22.85,23.25
05-26-2016,23.25,23.25,24.00,22.85,23.80
05-27-2016,23.80,23.50,25.25,23.05,24.45
05-30-2016,24.45,23.85,24.90,23.85,24.05
05-31-2016,24.05,24.00,24.80,24.00,24.65
06-01-2016,24.65,24.60,25.30,23.55,24.75
06-02-2016,24.75,24.90,25.70,24.90,25.25
06-04-2016,25.25,25.40,25.80,23.90,24.40
06-06-2016,24.40,23.85,24.90,23.65,24.00
06-07-2016,24.00,25.00,25.00,24.05,24.60
06-08-2016,24.60,24.00,24.50,24.00,24.40
06-09-2016,24.40,24.75,24.85,24.00,24.05
06-10-2016,24.05,24.50,26.50,24.40,25.55
06-13-2016,25.55,24.60,24.90,24.35,24.85
06-14-2016,24.85,25.25,25.30,24.35,24.35
06-15-2016,24.35,24.95,27.50,24.95,26.20
06-16-2016,26.20,26.30,27.00,25.70,26.10
06-17-2016,26.10,26.50,27.55,26.50,27.00
06-19-2016,27.00,27.05,27.20,26.70,26.70
06-21-2016,26.70,26.60,26.75,25.60,26.20
06-22-2016,26.20,26.70,26.70,26.15,26.50
06-23-2016,26.50,26.50,26.70,26.15,26.45
06-24-2016,26.45,25.10,25.80,24.55,25.80
06-27-2016,25.80,25.30,25.50,25.30,25.35
06-28-2016,25.35,25.35,26.00,25.30,25.60
06-29-2016,25.60,26.10,26.10,25.50,25.70
06-30-2016,25.70,26.00,28.00,26.00,26.60
07-01-2016,26.60,27.00,27.00,27.00,27.00
07-05-2016,27.00,26.60,26.70,26.30,26.45
07-05-2016,26.45,26.10,27.15,26.10,26.70
07-07-2016,26.70,26.30,26.40,25.60,25.90
07-08-2016,25.90,26.00,27.20,25.60,25.65
07-11-2016,25.65,26.50,26.55,25.80,26.55
07-12-2016,26.35,26.20,26.95,26.20,26.40
