Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1.59,1.66,1.66,1.66,1.66
05-19-2016,1.66,1.74,1.74,1.74,1.74
05-20-2016,1.66,1.74,1.74,1.74,1.74
05-20-2016,1.74,1.82,1.82,1.66,1.82
05-23-2016,1.82,1.91,1.91,1.90,1.90
05-24-2016,1.90,1.98,1.99,1.90,1.99
05-25-2016,1.90,1.98,1.99,1.90,1.99
05-26-2016,1.99,1.99,2.05,1.99,2.00
05-27-2016,2.00,2.04,2.04,2.04,2.04
05-30-2016,2.04,2.10,2.10,2.10,2.10
05-31-2016,2.10,2.00,2.00,2.00,2.00
06-01-2016,2.00,2.10,2.10,2.10,2.10
06-02-2016,2.00,2.10,2.10,2.10,2.10
06-04-2016,2.00,2.10,2.10,2.10,2.10
06-06-2016,2.10,2.00,2.15,2.00,2.15
06-07-2016,2.10,2.00,2.15,2.00,2.15
06-08-2016,2.10,2.00,2.15,2.00,2.15
06-09-2016,2.10,2.00,2.15,2.00,2.15
06-10-2016,2.15,2.15,2.15,2.05,2.13
06-13-2016,2.13,2.13,2.13,2.13,2.13
06-14-2016,2.13,2.15,2.20,2.10,2.20
06-15-2016,2.20,2.09,2.20,2.09,2.09
06-16-2016,2.09,1.99,1.99,1.99,1.99
06-17-2016,1.99,1.90,1.90,1.90,1.90
06-19-2016,1.99,1.90,1.90,1.90,1.90
06-21-2016,1.90,1.81,1.99,1.81,1.87
06-22-2016,1.90,1.81,1.99,1.81,1.87
06-23-2016,1.87,1.78,1.78,1.78,1.78
06-24-2016,1.78,1.80,1.86,1.80,1.86
06-27-2016,1.86,1.86,1.86,1.77,1.77
06-28-2016,1.77,1.85,1.85,1.69,1.85
06-29-2016,1.85,1.94,1.94,1.94,1.94
06-30-2016,1.94,2.03,2.03,1.85,1.85
07-01-2016,1.85,1.81,1.86,1.81,1.86
07-05-2016,1.86,1.77,1.77,1.77,1.77
07-05-2016,1.77,1.71,1.85,1.69,1.85
07-08-2016,1.85,1.94,1.94,1.94,1.94
07-08-2016,1.94,1.85,2.00,1.85,2.00
07-11-2016,2.00,1.90,2.10,1.90,1.90
07-12-2016,1.90,1.81,1.99,1.81,1.81
