Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,16.50,15.70,17.30,15.70,17.30
05-19-2016,17.30,18.15,18.15,18.15,18.15
05-20-2016,18.15,17.40,19.05,17.25,19.05
05-21-2016,19.05,19.50,19.50,18.10,19.30
05-23-2016,19.30,18.40,18.40,18.40,18.40
05-24-2016,19.30,18.40,18.40,18.40,18.40
05-25-2016,19.30,18.40,18.40,18.40,18.40
05-26-2016,19.30,18.40,18.40,18.40,18.40
05-27-2016,18.40,17.50,19.30,17.50,19.00
05-30-2016,19.00,19.95,19.95,19.95,19.95
05-31-2016,19.00,19.95,19.95,19.95,19.95
06-01-2016,19.00,19.95,19.95,19.95,19.95
06-02-2016,19.00,19.95,19.95,19.95,19.95
06-04-2016,19.95,20.45,20.45,20.45,20.45
06-06-2016,19.95,20.45,20.45,20.45,20.45
06-07-2016,19.95,20.45,20.45,20.45,20.45
06-08-2016,20.45,20.50,20.50,20.50,20.50
06-09-2016,20.50,21.50,21.50,21.50,21.50
06-10-2016,21.50,22.55,22.55,22.55,22.55
06-13-2016,21.50,22.55,22.55,22.55,22.55
06-14-2016,22.55,21.45,21.45,21.45,21.45
06-15-2016,21.45,22.50,22.50,20.40,20.40
06-16-2016,21.45,22.50,22.50,20.40,20.40
06-17-2016,21.45,22.50,22.50,20.40,20.40
06-19-2016,21.45,22.50,22.50,20.40,20.40
06-21-2016,20.40,19.40,19.40,19.40,19.40
06-22-2016,19.40,20.35,20.35,20.00,20.20
06-23-2016,20.20,20.30,21.20,19.20,19.20
06-24-2016,20.20,20.30,21.20,19.20,19.20
06-27-2016,19.20,20.00,20.15,18.25,20.15
06-28-2016,19.20,20.00,20.15,18.25,20.15
06-29-2016,20.15,21.15,21.15,21.15,21.15
06-30-2016,20.15,21.15,21.15,21.15,21.15
07-01-2016,20.15,21.15,21.15,21.15,21.15
07-05-2016,21.15,20.10,22.20,20.10,20.10
07-05-2016,20.10,20.00,20.00,19.10,19.10
07-08-2016,19.10,20.00,20.00,20.00,20.00
07-08-2016,20.00,19.00,19.00,19.00,19.00
07-11-2016,19.00,18.05,18.05,18.05,18.05
07-12-2016,18.05,17.15,17.15,17.15,17.15
