Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,276.65,283.05,284.00,278.00,279.60
05-19-2016,279.60,276.10,279.40,273.20,274.80
05-20-2016,274.80,274.10,274.30,265.10,267.15
05-20-2016,267.15,267.40,267.85,263.00,264.35
05-23-2016,264.35,265.55,265.55,258.80,259.95
05-24-2016,259.95,259.00,259.05,253.10,254.35
05-25-2016,254.35,256.95,268.80,254.20,267.00
05-26-2016,267.00,268.55,270.65,264.90,269.95
05-27-2016,269.95,270.00,276.40,269.00,272.50
05-30-2016,272.50,274.00,279.50,270.35,277.65
05-31-2016,277.65,278.75,278.75,273.30,274.20
06-01-2016,274.20,277.95,277.95,271.50,272.40
06-02-2016,272.40,272.40,275.90,267.10,274.95
06-04-2016,274.95,275.00,276.65,267.85,269.50
06-06-2016,269.50,270.00,273.10,265.70,270.00
06-07-2016,270.00,270.10,274.85,269.80,272.50
06-08-2016,272.50,273.05,274.35,272.10,273.05
06-09-2016,273.05,273.05,277.55,271.65,274.00
06-10-2016,274.00,272.55,278.50,272.55,275.60
06-13-2016,275.60,275.60,275.60,269.25,274.05
06-14-2016,274.05,274.10,282.25,271.05,279.45
06-15-2016,279.45,280.00,283.20,278.50,279.30
06-16-2016,279.30,281.00,284.00,277.65,282.00
06-17-2016,282.00,284.95,287.95,283.00,285.45
06-19-2016,285.45,286.00,290.00,285.00,287.05
06-21-2016,287.05,287.55,288.00,283.05,283.95
06-22-2016,283.95,285.25,291.75,285.25,290.15
06-23-2016,290.15,292.00,292.70,286.00,287.20
06-24-2016,287.20,283.00,291.50,274.90,289.75
06-27-2016,289.75,291.45,293.30,287.00,288.10
06-28-2016,288.10,287.00,288.20,283.65,284.70
06-29-2016,284.70,286.60,291.70,284.85,290.15
06-30-2016,290.15,291.45,296.00,289.00,294.30
07-01-2016,294.30,292.60,301.80,292.60,298.40
07-05-2016,298.40,299.65,299.65,293.70,295.95
07-05-2016,295.95,295.65,299.90,293.65,295.20
07-08-2016,295.20,298.00,299.45,293.30,294.15
07-08-2016,294.15,295.95,296.00,291.10,292.50
07-11-2016,292.50,291.15,297.90,291.15,294.50
07-12-2016,294.50,296.45,298.60,293.30,294.65
