Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,124.70,126.00,128.00,124.40,125.70
05-19-2016,125.70,127.00,130.00,124.00,125.80
05-19-2016,125.80,123.10,127.00,123.00,124.80
05-20-2016,124.80,123.00,126.50,122.00,122.00
05-23-2016,122.00,127.00,135.00,121.05,123.10
05-24-2016,123.10,128.00,129.90,119.00,122.50
05-25-2016,122.50,120.25,123.80,115.20,116.25
05-26-2016,116.25,117.70,117.75,115.15,116.95
05-27-2016,116.95,115.55,117.95,115.50,115.60
05-30-2016,115.60,115.50,115.50,112.60,114.45
05-31-2016,114.45,113.90,114.80,111.65,112.50
06-01-2016,112.50,111.35,113.50,111.00,111.30
06-02-2016,111.30,110.90,116.00,110.90,113.60
06-04-2016,113.60,114.85,114.85,112.30,113.30
06-06-2016,113.30,116.00,127.95,111.05,113.60
06-07-2016,113.60,114.30,117.40,112.00,112.90
06-08-2016,112.90,117.95,123.90,111.00,113.20
06-09-2016,113.20,113.25,114.90,111.05,112.90
06-10-2016,112.90,113.85,116.60,111.35,112.90
06-13-2016,112.90,110.20,110.65,107.00,108.40
06-14-2016,108.40,112.55,112.55,110.60,110.60
06-15-2016,110.60,113.95,113.95,110.00,111.55
06-16-2016,111.55,110.40,112.50,109.10,109.50
06-17-2016,109.50,110.50,116.70,108.55,109.00
06-19-2016,109.00,116.35,129.70,116.00,124.15
06-21-2016,124.15,126.00,144.60,124.20,136.70
06-22-2016,136.70,132.20,143.45,132.20,137.40
06-23-2016,137.40,130.30,138.00,129.00,132.50
06-24-2016,132.50,126.00,132.00,126.00,128.05
06-27-2016,128.05,133.20,153.65,131.50,153.65
06-28-2016,153.65,159.95,174.50,146.35,148.15
06-29-2016,148.15,150.00,177.75,148.00,177.75
06-30-2016,177.75,183.20,185.00,173.10,175.60
07-01-2016,175.60,175.30,180.00,165.00,168.50
07-05-2016,168.50,170.00,172.00,164.00,166.15
07-05-2016,166.15,168.00,172.75,163.60,164.40
07-07-2016,164.40,166.65,167.00,159.60,161.30
07-08-2016,161.30,163.80,168.45,160.00,163.85
07-11-2016,163.85,166.00,166.00,161.10,162.00
07-12-2016,162.00,161.10,164.00,154.90,155.10
