Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,50.90,50.50,52.75,50.50,52.70
05-19-2016,52.70,51.75,51.75,51.75,51.75
05-19-2016,51.75,52.00,52.00,51.10,51.20
05-20-2016,51.20,50.00,50.60,50.00,50.60
05-23-2016,50.60,49.55,50.00,49.50,50.00
05-24-2016,50.60,49.55,50.00,49.50,50.00
05-25-2016,50.00,48.10,48.30,48.10,48.30
05-26-2016,48.30,48.05,48.75,48.00,48.00
05-27-2016,48.00,48.10,50.00,48.00,48.20
05-30-2016,48.20,48.60,50.60,48.60,50.60
05-31-2016,50.60,48.65,50.55,48.60,50.55
06-01-2016,50.55,48.10,50.40,48.10,48.90
06-02-2016,50.55,48.10,50.40,48.10,48.90
06-04-2016,48.90,48.50,49.85,48.00,48.95
06-06-2016,48.95,48.00,50.00,48.00,50.00
06-07-2016,50.00,48.50,52.50,47.50,51.00
06-08-2016,51.00,53.40,53.55,51.00,52.90
06-09-2016,52.90,51.00,54.80,50.55,53.70
06-10-2016,53.70,54.00,54.00,52.20,52.60
06-13-2016,52.60,54.00,54.00,51.05,52.00
06-14-2016,52.00,50.25,53.75,50.25,53.75
06-15-2016,53.75,51.10,52.90,51.10,52.70
06-16-2016,52.70,50.25,51.05,50.25,51.00
06-17-2016,51.00,51.00,51.90,51.00,51.75
06-19-2016,51.75,54.25,54.25,50.30,52.95
06-21-2016,52.95,54.00,54.25,51.00,53.00
06-22-2016,53.00,53.00,55.25,50.50,54.70
06-23-2016,54.70,57.30,57.30,52.25,53.35
06-24-2016,53.35,53.00,53.00,50.90,53.00
06-27-2016,53.00,50.35,53.75,50.35,52.70
06-28-2016,52.70,50.50,54.40,50.40,54.15
06-29-2016,54.15,53.00,54.80,52.00,54.00
06-30-2016,54.00,52.10,54.60,52.10,54.60
07-01-2016,54.60,52.25,54.90,52.25,53.10
07-05-2016,53.10,52.50,54.40,52.50,52.65
07-05-2016,52.65,53.00,54.85,51.15,53.40
07-07-2016,53.40,51.25,54.40,51.25,54.20
07-08-2016,54.20,55.40,55.40,51.50,54.00
07-11-2016,54.00,51.55,53.00,51.30,52.05
07-12-2016,52.05,51.50,53.05,51.50,53.00
07-13-2016,53.00,52.00,53.70,50.70,53.00
