Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,10.16,9.96,9.96,9.96,9.96
05-19-2016,10.16,9.96,9.96,9.96,9.96
05-20-2016,10.16,9.96,9.96,9.96,9.96
05-20-2016,9.96,10.10,10.10,10.10,10.10
05-23-2016,10.10,10.30,10.30,10.30,10.30
05-24-2016,10.10,10.30,10.30,10.30,10.30
05-25-2016,10.30,10.10,10.10,10.10,10.10
05-26-2016,10.10,9.90,9.90,9.90,9.90
05-27-2016,10.10,9.90,9.90,9.90,9.90
05-30-2016,10.10,9.90,9.90,9.90,9.90
05-31-2016,9.90,9.71,9.71,9.71,9.71
06-01-2016,9.90,9.71,9.71,9.71,9.71
06-02-2016,9.71,9.52,9.52,9.52,9.52
06-04-2016,9.52,9.05,9.05,9.05,9.05
06-06-2016,9.05,8.60,8.60,8.60,8.60
06-07-2016,8.60,8.20,8.20,8.17,8.17
06-08-2016,8.17,7.77,7.77,7.77,7.77
06-09-2016,8.17,7.77,7.77,7.77,7.77
06-10-2016,7.77,7.77,7.77,7.77,7.77
06-13-2016,7.77,7.65,7.65,7.39,7.65
06-14-2016,7.77,7.65,7.65,7.39,7.65
06-15-2016,7.65,7.36,7.98,7.32,7.98
06-16-2016,7.98,8.37,8.37,7.62,8.32
06-17-2016,8.32,8.71,8.73,8.02,8.02
06-19-2016,8.32,8.71,8.73,8.02,8.02
06-21-2016,8.32,8.71,8.73,8.02,8.02
06-22-2016,8.32,8.71,8.73,8.02,8.02
06-23-2016,8.02,7.63,8.42,7.63,8.42
06-24-2016,8.42,8.60,8.84,8.25,8.84
06-27-2016,8.84,9.24,9.25,8.50,9.22
06-28-2016,9.22,8.76,9.05,8.76,9.05
06-29-2016,9.05,8.65,8.80,8.65,8.70
06-30-2016,8.70,9.00,9.00,9.00,9.00
07-01-2016,8.70,9.00,9.00,9.00,9.00
07-05-2016,8.70,9.00,9.00,9.00,9.00
07-05-2016,8.70,9.00,9.00,9.00,9.00
07-07-2016,9.00,9.10,9.44,8.61,8.87
07-08-2016,8.87,9.31,9.31,9.31,9.31
07-11-2016,9.31,9.77,9.77,8.99,9.77
07-12-2016,9.77,10.25,10.25,10.25,10.25
