Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,14.97,15.57,15.57,14.90,15.40
05-19-2016,15.40,15.20,15.70,15.15,15.57
05-20-2016,15.57,15.50,15.90,15.30,15.57
05-21-2016,15.57,16.09,16.09,15.35,15.49
05-23-2016,15.49,15.50,15.80,15.35,15.70
05-24-2016,15.70,15.60,15.95,15.50,15.70
05-25-2016,15.70,15.70,16.20,15.30,15.55
05-26-2016,15.55,15.70,16.25,15.70,16.15
05-27-2016,16.15,15.90,16.95,15.90,16.95
05-30-2016,16.95,17.00,17.75,16.85,17.00
05-31-2016,17.00,17.05,17.50,16.90,17.10
06-01-2016,17.10,17.20,17.95,17.20,17.90
06-02-2016,17.90,17.70,18.35,17.70,17.70
06-04-2016,17.70,17.40,18.75,17.40,18.60
06-06-2016,18.60,18.50,19.70,18.50,19.20
06-07-2016,19.20,19.30,20.50,19.00,20.10
06-08-2016,20.10,20.20,20.50,20.05,20.30
06-09-2016,20.30,20.90,20.90,20.10,20.20
06-10-2016,20.20,20.30,21.45,20.15,21.20
06-13-2016,21.20,21.20,21.95,20.50,21.40
06-14-2016,21.40,22.30,22.30,21.55,21.65
06-15-2016,21.65,21.50,22.10,21.50,21.85
06-16-2016,21.85,22.10,22.40,21.50,21.80
06-17-2016,21.80,21.90,22.65,21.60,22.50
06-19-2016,22.50,22.60,23.25,22.50,23.15
06-21-2016,23.15,23.20,23.80,23.05,23.75
06-22-2016,23.75,23.50,24.75,23.40,24.60
06-23-2016,24.60,24.95,25.25,24.30,25.10
06-24-2016,25.10,24.20,25.35,23.85,24.30
06-27-2016,24.30,24.40,25.00,24.05,24.60
06-28-2016,24.60,24.40,24.50,24.00,24.25
06-29-2016,24.25,24.25,24.50,23.90,24.10
06-30-2016,24.10,24.95,24.95,24.05,24.20
07-01-2016,24.20,24.50,24.50,23.50,24.05
07-05-2016,24.05,24.15,24.25,23.60,24.00
07-05-2016,24.00,24.10,24.30,23.00,23.45
07-08-2016,23.45,23.90,24.50,23.50,23.50
07-08-2016,23.50,23.80,24.00,23.50,23.65
07-11-2016,23.65,24.10,24.60,24.00,24.50
07-12-2016,24.50,24.90,25.70,24.90,25.45
