Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,7.81,7.98,7.99,7.80,7.90
05-19-2016,7.90,7.90,9.48,7.90,9.48
05-20-2016,9.48,10.00,11.37,10.00,11.37
05-20-2016,11.37,12.02,12.35,10.27,10.51
05-23-2016,10.51,10.15,10.15,9.75,9.87
05-24-2016,9.87,9.60,9.60,8.90,9.19
05-25-2016,9.19,9.50,9.70,9.15,9.27
05-26-2016,9.27,9.50,9.80,9.27,9.64
05-27-2016,9.64,9.41,10.20,9.40,9.99
05-30-2016,9.99,9.51,9.70,9.40,9.64
05-31-2016,9.64,9.40,9.40,8.90,8.91
06-01-2016,8.91,9.35,9.40,8.80,8.99
06-02-2016,8.99,9.00,9.10,8.70,8.85
06-04-2016,8.85,9.00,9.01,8.35,8.35
06-06-2016,8.35,8.45,8.45,7.81,7.87
06-07-2016,7.87,7.88,8.15,7.70,7.99
06-08-2016,7.99,7.80,8.10,7.80,8.03
06-09-2016,8.03,8.10,8.29,8.01,8.05
06-10-2016,8.05,8.05,8.25,8.05,8.11
06-13-2016,8.11,8.00,8.45,7.90,8.44
06-14-2016,8.44,8.35,8.60,8.31,8.50
06-15-2016,8.50,8.54,8.91,8.35,8.59
06-16-2016,8.59,8.26,8.50,8.10,8.30
06-17-2016,8.30,8.21,9.20,8.21,8.92
06-19-2016,8.92,8.90,8.95,8.85,8.90
06-21-2016,8.90,8.75,8.75,8.35,8.72
06-22-2016,8.72,8.98,9.10,8.55,8.65
06-23-2016,8.65,8.88,9.00,8.75,8.76
06-24-2016,8.76,8.30,8.69,8.30,8.64
06-27-2016,8.64,8.80,8.80,8.55,8.72
06-28-2016,8.72,8.55,8.85,8.50,8.80
06-29-2016,8.80,8.70,9.00,8.70,8.87
06-30-2016,8.87,8.85,9.20,8.55,8.59
07-01-2016,8.59,9.00,9.15,8.95,9.02
07-05-2016,9.02,9.40,9.80,9.00,9.04
07-05-2016,9.04,9.05,9.80,9.05,9.50
07-08-2016,9.50,9.80,9.80,9.42,9.55
07-08-2016,9.55,9.40,9.70,9.00,9.27
07-11-2016,9.27,9.35,9.55,9.17,9.40
07-12-2016,9.28,9.55,9.55,9.20,9.38
