Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,10.79,11.24,11.25,10.26,11.03
05-19-2016,11.03,11.25,11.49,11.25,11.49
05-19-2016,11.49,11.49,11.49,10.81,10.81
05-20-2016,10.81,10.25,10.45,10.25,10.45
05-23-2016,10.45,9.67,11.30,9.67,10.05
05-24-2016,10.05,9.56,10.95,9.56,10.94
05-25-2016,10.94,11.89,12.03,10.18,12.00
05-26-2016,12.00,11.50,13.11,11.50,12.80
05-27-2016,12.80,13.40,13.40,11.90,12.00
05-30-2016,12.00,11.88,12.00,11.61,11.72
05-31-2016,11.72,11.27,12.10,11.27,11.34
06-01-2016,11.34,11.30,11.99,10.85,11.17
06-02-2016,11.17,10.20,11.54,10.20,11.37
06-04-2016,11.37,11.33,11.34,9.80,11.18
06-06-2016,11.18,12.29,12.29,9.71,9.71
06-07-2016,10.14,9.75,10.49,9.50,9.51
06-08-2016,9.51,9.11,9.99,9.11,9.33
06-09-2016,9.33,10.47,10.47,9.15,10.09
06-10-2016,10.09,10.90,11.00,9.41,9.45
06-13-2016,9.45,10.79,10.79,9.19,10.00
06-14-2016,10.00,10.00,10.00,10.00,10.00
06-15-2016,10.00,10.25,10.25,9.20,9.21
06-16-2016,9.21,10.58,10.58,9.10,9.26
06-17-2016,9.26,9.30,10.69,9.30,9.69
06-19-2016,9.69,9.21,9.98,9.20,9.20
06-21-2016,9.20,9.40,10.40,9.30,10.07
06-22-2016,10.07,10.87,11.50,9.28,10.15
06-23-2016,10.07,10.87,11.50,9.28,10.15
06-24-2016,10.15,12.15,12.15,9.16,10.09
06-27-2016,10.09,9.50,10.90,9.50,9.66
06-28-2016,9.66,10.50,10.55,9.67,10.49
06-29-2016,10.49,10.00,10.39,10.00,10.39
06-30-2016,10.39,10.60,10.60,9.31,10.49
07-01-2016,10.49,9.37,9.96,9.30,9.55
07-05-2016,9.55,10.84,10.84,9.50,9.50
07-05-2016,9.50,10.74,10.74,9.38,10.00
07-07-2016,9.50,10.74,10.74,9.38,10.00
07-08-2016,10.00,10.00,12.00,10.00,12.00
07-11-2016,12.00,13.60,14.40,13.00,14.28
07-12-2016,14.28,14.39,14.39,12.86,12.86
