Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,2.70,2.57,2.57,2.57,2.57
05-19-2016,2.70,2.57,2.57,2.57,2.57
05-20-2016,2.70,2.57,2.57,2.57,2.57
05-21-2016,2.70,2.57,2.57,2.57,2.57
05-23-2016,2.70,2.57,2.57,2.57,2.57
05-24-2016,2.70,2.57,2.57,2.57,2.57
05-25-2016,2.70,2.57,2.57,2.57,2.57
05-26-2016,2.70,2.57,2.57,2.57,2.57
05-27-2016,2.70,2.57,2.57,2.57,2.57
05-30-2016,2.57,2.57,2.57,2.57,2.57
05-31-2016,2.57,2.57,2.57,2.57,2.57
06-01-2016,2.57,2.57,2.57,2.57,2.57
06-02-2016,2.57,2.57,2.57,2.57,2.57
06-04-2016,2.57,2.57,2.57,2.57,2.57
06-06-2016,2.57,2.45,2.45,2.45,2.45
06-07-2016,2.57,2.45,2.45,2.45,2.45
06-08-2016,2.57,2.45,2.45,2.45,2.45
06-09-2016,2.57,2.45,2.45,2.45,2.45
06-10-2016,2.57,2.45,2.45,2.45,2.45
06-13-2016,2.57,2.45,2.45,2.45,2.45
06-14-2016,2.57,2.45,2.45,2.45,2.45
06-15-2016,2.57,2.45,2.45,2.45,2.45
06-16-2016,2.57,2.45,2.45,2.45,2.45
06-17-2016,2.57,2.45,2.45,2.45,2.45
06-19-2016,2.57,2.45,2.45,2.45,2.45
06-21-2016,2.45,2.57,2.57,2.33,2.33
06-22-2016,2.45,2.57,2.57,2.33,2.33
06-23-2016,2.45,2.57,2.57,2.33,2.33
06-24-2016,2.45,2.57,2.57,2.33,2.33
06-27-2016,2.45,2.57,2.57,2.33,2.33
06-28-2016,2.45,2.57,2.57,2.33,2.33
06-29-2016,2.45,2.57,2.57,2.33,2.33
06-30-2016,2.33,2.22,2.22,2.22,2.22
07-01-2016,2.33,2.22,2.22,2.22,2.22
07-05-2016,2.33,2.22,2.22,2.22,2.22
07-05-2016,2.33,2.22,2.22,2.22,2.22
07-08-2016,2.33,2.22,2.22,2.22,2.22
07-08-2016,2.33,2.22,2.22,2.22,2.22
07-11-2016,2.22,2.11,2.11,2.11,2.11
07-12-2016,2.22,2.11,2.11,2.11,2.11
