Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,0.57,0.55,0.55,0.55,0.55

06-08-2016,0.55,0.53,0.55,0.53,0.55
06-09-2016,0.55,0.53,0.54,0.53,0.54
06-10-2016,0.54,0.52,0.52,0.52,0.52
06-13-2016,0.52,0.54,0.54,0.54,0.54
06-14-2016,0.54,0.56,0.56,0.56,0.56
06-15-2016,0.56,0.58,0.58,0.58,0.58
06-16-2016,0.56,0.58,0.58,0.58,0.58
06-17-2016,0.58,0.57,0.57,0.57,0.57
06-19-2016,0.57,0.59,0.59,0.59,0.59
06-21-2016,0.59,0.61,0.61,0.61,0.61
06-22-2016,0.61,0.60,0.60,0.60,0.60
06-23-2016,0.60,0.57,0.57,0.57,0.57
06-24-2016,0.60,0.57,0.57,0.57,0.57
06-27-2016,0.60,0.57,0.57,0.57,0.57
06-28-2016,0.60,0.57,0.57,0.57,0.57
06-29-2016,0.60,0.57,0.57,0.57,0.57
06-30-2016,0.57,0.59,0.59,0.59,0.59
07-01-2016,0.59,0.61,0.61,0.61,0.61
07-05-2016,0.61,0.64,0.64,0.64,0.64
07-05-2016,0.64,0.61,0.61,0.61,0.61
07-07-2016,0.61,0.60,0.64,0.60,0.64
07-08-2016,0.64,0.67,0.67,0.67,0.67
07-11-2016,0.64,0.67,0.67,0.67,0.67
07-12-2016,0.67,0.67,0.67,0.67,0.67
07-13-2016,0.67,0.67,0.67,0.67,0.67
