Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,25.30,25.50,26.45,25.35,25.80
05-19-2016,25.80,25.70,26.30,25.25,26.15
05-20-2016,26.15,25.65,25.65,24.65,24.85
05-21-2016,24.85,25.50,25.60,24.85,25.00
05-23-2016,25.00,25.20,25.25,24.40,24.50
05-24-2016,24.50,25.10,25.10,24.15,24.20
05-25-2016,24.20,24.80,25.00,24.25,24.60
05-26-2016,24.60,24.25,24.85,24.25,24.40
05-27-2016,24.40,24.70,25.25,24.25,24.45
05-30-2016,24.45,24.85,24.90,24.30,24.35
05-31-2016,24.35,24.20,24.70,24.15,24.15
06-01-2016,24.15,24.20,24.50,24.10,24.15
06-02-2016,24.15,24.15,24.75,24.15,24.40
06-04-2016,24.40,24.30,24.50,24.05,24.05
06-06-2016,24.05,24.00,24.70,24.00,24.10
06-07-2016,24.10,24.25,24.25,24.00,24.05
06-08-2016,24.05,24.30,25.20,24.30,24.80
06-09-2016,24.80,25.00,25.45,24.55,24.75
06-10-2016,24.75,24.90,25.35,24.65,24.75
06-13-2016,24.75,24.40,24.75,24.15,24.30
06-14-2016,24.30,24.60,24.65,24.00,24.30
06-15-2016,24.30,24.20,25.65,24.20,25.05
06-16-2016,25.05,24.80,24.80,24.20,24.30
06-17-2016,24.30,24.40,25.30,24.35,24.75
06-19-2016,24.75,24.50,25.25,24.50,24.70
06-21-2016,24.70,24.35,25.00,24.00,24.10
06-22-2016,24.10,24.00,24.75,24.00,24.25
06-23-2016,24.25,24.25,24.30,23.85,24.05
06-24-2016,24.05,23.50,24.75,23.50,24.60
06-27-2016,24.60,25.00,27.30,25.00,26.75
06-28-2016,26.75,27.00,28.20,26.85,27.70
06-29-2016,27.70,28.40,30.40,28.20,28.55
06-30-2016,28.55,29.10,29.70,25.70,26.20
07-01-2016,26.20,27.20,28.10,24.55,24.95
07-05-2016,24.95,25.05,27.70,25.05,27.35
07-05-2016,27.35,27.90,28.90,27.20,28.45
07-08-2016,28.45,28.85,28.95,28.10,28.15
07-08-2016,28.15,28.40,28.40,27.35,27.60
07-11-2016,27.60,28.05,28.30,27.10,27.75
07-12-2016,27.75,28.30,28.50,27.25,27.55
