Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,49.55,50.00,51.25,49.80,50.20
05-19-2016,50.20,50.00,50.30,46.55,47.20
05-20-2016,47.20,49.00,49.00,43.00,45.05
05-21-2016,45.05,45.15,48.05,45.15,47.75
05-23-2016,47.75,48.75,50.70,48.75,49.60
05-24-2016,49.60,51.40,51.40,48.20,49.95
05-25-2016,49.95,50.30,50.70,48.55,48.85
05-26-2016,48.85,48.95,49.70,48.50,49.05
05-27-2016,49.05,49.30,50.10,48.50,49.75
05-30-2016,49.75,49.05,50.50,48.85,49.05
05-31-2016,49.05,49.80,49.95,48.65,49.15
06-01-2016,49.15,49.45,50.20,48.00,48.60
06-02-2016,48.60,48.75,48.75,47.65,47.85
06-04-2016,47.85,48.00,48.30,47.05,47.50
06-06-2016,47.50,47.95,48.15,47.60,48.05
06-07-2016,48.05,48.00,48.05,47.00,47.60
06-08-2016,47.60,48.15,48.15,47.85,48.00
06-09-2016,48.00,48.25,48.25,47.15,47.50
06-10-2016,47.50,49.80,49.80,46.75,47.10
06-13-2016,47.10,47.00,47.60,46.40,47.25
06-14-2016,47.25,48.00,48.35,47.40,47.75
06-15-2016,47.75,48.00,48.00,47.55,47.90
06-16-2016,47.90,48.00,48.00,47.50,47.85
06-17-2016,47.85,48.20,48.25,47.45,47.95
06-19-2016,47.95,48.00,49.50,48.00,48.40
06-21-2016,48.40,48.95,49.00,48.35,48.85
06-22-2016,48.85,48.60,50.00,48.00,48.50
06-23-2016,48.50,48.40,49.05,48.10,48.45
06-24-2016,48.45,47.85,47.85,46.10,47.00
06-27-2016,47.00,48.00,48.10,47.50,48.00
06-28-2016,48.00,48.00,48.25,47.60,47.70
06-29-2016,47.70,48.50,49.10,48.30,48.80
06-30-2016,48.80,49.00,52.30,49.00,49.90
07-01-2016,49.90,50.60,51.80,49.60,49.80
07-05-2016,49.80,50.05,50.95,49.30,49.70
07-05-2016,49.70,50.00,51.75,50.00,50.45
07-08-2016,50.45,51.00,51.20,49.65,49.90
07-08-2016,49.90,50.25,50.25,48.10,48.35
07-11-2016,48.35,49.75,49.95,49.05,49.20
07-12-2016,49.20,49.05,50.00,48.85,49.10
