Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4.71,4.81,4.83,4.65,4.78
05-19-2016,4.78,4.89,4.89,4.65,4.75
05-20-2016,4.75,4.67,4.85,4.66,4.75
05-21-2016,4.75,4.80,4.83,4.71,4.80
05-23-2016,4.80,4.97,5.00,4.65,4.73
05-24-2016,4.73,4.70,4.70,4.31,4.59
05-25-2016,4.59,4.53,4.65,4.35,4.59
05-26-2016,4.59,4.65,4.65,4.40,4.50
05-27-2016,4.50,4.50,4.95,4.50,4.62
05-30-2016,4.62,4.92,4.92,4.66,4.85
05-31-2016,4.85,4.65,4.65,4.50,4.50
06-01-2016,4.50,4.70,4.70,4.46,4.55
06-02-2016,4.55,4.51,4.60,4.31,4.55
06-04-2016,4.55,4.51,4.55,4.45,4.55
06-06-2016,4.55,4.50,4.55,4.50,4.50
06-07-2016,4.50,4.43,4.50,4.40,4.43
06-08-2016,4.43,4.35,4.75,4.20,4.42
06-09-2016,4.42,4.36,4.55,4.32,4.45
06-10-2016,4.45,4.54,4.55,4.40,4.48
06-13-2016,4.48,4.34,4.50,4.34,4.45
06-14-2016,4.45,4.45,4.75,4.45,4.68
06-15-2016,4.68,4.73,4.74,4.60,4.65
06-16-2016,4.65,4.70,4.75,4.60,4.66
06-17-2016,4.66,4.55,4.75,4.35,4.60
06-19-2016,4.60,4.54,4.69,4.46,4.50
06-21-2016,4.50,4.42,4.69,4.21,4.51
06-22-2016,4.51,4.60,4.65,4.45,4.54
06-23-2016,4.54,4.60,4.60,4.41,4.50
06-24-2016,4.50,4.49,4.49,4.20,4.40
06-27-2016,4.40,4.45,4.45,4.36,4.40
06-28-2016,4.40,4.55,4.55,4.33,4.37
06-29-2016,4.37,4.50,4.70,4.45,4.51
06-30-2016,4.51,4.65,4.70,4.51,4.59
07-01-2016,4.59,4.61,4.84,4.60,4.78
07-05-2016,4.78,4.80,4.85,4.67,4.71
07-05-2016,4.71,4.79,4.79,4.66,4.67
07-08-2016,4.67,4.62,4.75,4.55,4.70
07-08-2016,4.70,4.65,4.73,4.50,4.62
07-11-2016,4.62,4.75,4.75,4.63,4.75
07-12-2016,4.75,4.80,4.80,4.62,4.65
