Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,100.70,103.00,103.00,100.00,102.00
05-19-2016,102.00,101.00,108.00,100.00,108.00
05-20-2016,108.00,104.50,110.00,104.40,106.20
05-21-2016,106.20,104.50,108.00,100.00,102.10
05-23-2016,102.10,105.90,105.90,100.00,103.50
05-24-2016,103.50,98.00,100.00,95.10,96.20
05-25-2016,96.20,98.00,98.00,92.00,93.95
05-26-2016,93.95,94.00,104.90,92.00,94.85
05-27-2016,94.85,94.00,94.95,89.00,90.10
05-30-2016,90.10,90.30,93.95,89.00,90.20
05-31-2016,90.20,90.50,90.50,90.50,90.50
06-01-2016,90.50,93.00,93.00,90.00,90.60
06-02-2016,90.60,90.50,93.00,90.00,92.95
06-04-2016,92.95,94.80,107.70,92.95,106.65
06-06-2016,106.65,103.00,105.00,92.50,93.30
06-07-2016,93.30,96.95,101.50,95.00,99.15
06-08-2016,99.15,99.30,103.00,98.00,100.00
06-09-2016,100.00,103.95,104.00,83.10,87.10
06-10-2016,87.10,86.00,89.00,85.00,85.85
06-13-2016,85.85,84.05,84.05,68.70,69.55
06-14-2016,69.55,70.70,72.00,66.30,68.80
06-15-2016,68.80,69.50,69.50,61.95,62.60
06-16-2016,62.60,62.10,62.10,58.00,58.95
06-17-2016,58.95,59.00,64.80,55.40,56.95
06-19-2016,56.95,57.90,57.90,52.25,53.65
06-21-2016,53.65,53.80,56.30,52.65,56.10
06-22-2016,56.10,58.45,58.45,54.00,54.85
06-23-2016,54.85,55.60,57.40,54.60,55.85
06-24-2016,55.85,53.55,54.50,53.10,54.15
06-27-2016,54.15,54.10,55.95,52.30,52.70
06-28-2016,52.70,53.95,55.00,52.10,52.85
06-29-2016,52.85,53.95,53.95,52.00,52.55
06-30-2016,52.55,52.60,52.60,49.95,50.05
07-01-2016,50.05,51.90,52.55,49.20,52.55
07-05-2016,52.55,55.10,55.15,54.70,55.15
07-05-2016,55.15,57.00,57.00,53.10,53.90
07-08-2016,53.90,55.00,55.00,51.40,51.75
07-08-2016,51.75,51.50,53.00,49.65,50.15
07-11-2016,50.15,50.00,52.30,48.00,48.70
07-12-2016,48.70,49.00,50.00,48.70,49.90
