Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,34.95,33.25,34.95,33.25,34.95
05-19-2016,34.95,34.40,34.50,33.25,34.50
05-19-2016,34.95,34.40,34.50,33.25,34.50
05-20-2016,34.95,34.40,34.50,33.25,34.50
05-23-2016,34.95,34.40,34.50,33.25,34.50
05-24-2016,34.50,34.00,34.00,34.00,34.00
05-25-2016,34.00,34.00,34.00,34.00,34.00
05-26-2016,34.00,34.00,34.00,32.75,32.75
05-27-2016,32.75,31.60,32.55,31.50,32.55
05-30-2016,32.55,33.35,33.35,31.00,31.00
05-31-2016,31.00,30.85,32.55,29.65,32.55
06-01-2016,32.55,31.05,33.35,31.00,33.30
06-02-2016,33.30,33.00,33.60,33.00,33.60
06-04-2016,33.60,34.40,35.00,34.40,35.00
06-06-2016,35.00,35.00,35.80,35.00,35.00
06-07-2016,35.00,35.00,35.00,33.25,34.60
06-08-2016,34.60,35.00,36.30,32.90,36.10
06-09-2016,36.10,35.40,35.40,35.40,35.40
06-10-2016,35.40,36.00,36.20,35.00,35.30
06-13-2016,35.30,36.10,37.00,35.40,36.60
06-14-2016,36.60,37.40,37.40,36.10,36.95
06-15-2016,36.95,36.10,37.05,35.30,37.05
06-16-2016,37.05,37.50,37.85,37.00,37.05
06-17-2016,37.05,37.85,38.65,36.50,38.50
06-19-2016,38.50,37.85,40.10,37.05,40.05
06-21-2016,40.05,40.75,41.90,40.00,41.55
06-22-2016,41.55,41.00,42.25,41.00,42.10
06-23-2016,42.10,40.90,43.60,40.10,43.50
06-24-2016,43.50,43.00,43.00,41.35,41.45
06-27-2016,41.45,40.90,43.50,40.00,43.00
06-28-2016,43.00,43.75,43.75,41.45,42.50
06-29-2016,42.50,42.20,42.20,42.20,42.20
06-30-2016,42.20,41.45,41.45,41.45,41.45
07-01-2016,41.45,42.20,42.95,39.50,42.50
07-05-2016,42.50,42.20,42.20,41.75,42.00
07-05-2016,42.00,39.90,41.50,39.90,41.45
07-07-2016,41.45,39.50,39.50,39.40,39.40
07-08-2016,39.40,39.35,39.35,37.50,38.50
07-11-2016,38.50,37.10,38.55,36.60,36.60
07-12-2016,36.60,37.00,38.00,34.85,35.00
