Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,44.80,45.90,45.90,45.90,45.90
05-19-2016,45.90,45.90,45.90,45.90,45.90
05-20-2016,45.90,44.00,45.00,44.00,45.00
05-21-2016,45.90,44.00,45.00,44.00,45.00
05-23-2016,45.00,45.00,45.00,45.00,45.00
05-24-2016,45.00,42.75,45.00,42.75,45.00
05-25-2016,45.00,45.00,45.00,45.00,45.00
05-26-2016,45.00,45.00,45.00,45.00,45.00
05-27-2016,45.00,42.75,46.95,42.75,43.60
05-30-2016,43.60,41.45,44.95,41.45,44.95
05-31-2016,44.95,46.90,46.90,46.90,46.90
06-01-2016,46.90,46.00,46.00,44.60,44.60
06-02-2016,44.60,46.00,46.00,46.00,46.00
06-04-2016,46.00,47.45,47.45,43.70,47.45
06-06-2016,47.45,49.00,49.45,45.10,47.20
06-07-2016,47.45,49.00,49.45,45.10,47.20
06-08-2016,47.20,47.20,48.00,47.20,48.00
06-09-2016,48.00,48.00,48.00,48.00,48.00
06-10-2016,48.00,48.00,48.00,48.00,48.00
06-13-2016,48.00,45.60,46.00,45.60,46.00
06-14-2016,48.00,45.60,46.00,45.60,46.00
06-15-2016,48.00,45.60,46.00,45.60,46.00
06-16-2016,46.00,44.10,44.10,44.10,44.10
06-18-2016,46.00,44.10,44.10,44.10,44.10
06-19-2016,44.10,42.50,46.30,42.50,46.30
06-21-2016,46.30,44.00,46.00,44.00,46.00
06-22-2016,46.00,46.00,46.00,46.00,46.00
06-23-2016,46.00,46.00,46.00,46.00,46.00
06-24-2016,46.00,43.70,43.70,43.70,43.70
06-27-2016,46.00,43.70,43.70,43.70,43.70
06-28-2016,46.00,43.70,43.70,43.70,43.70
06-29-2016,43.70,43.70,43.70,43.70,43.70
06-30-2016,43.70,43.70,43.70,43.70,43.70
07-01-2016,43.70,43.70,43.70,43.70,43.70
07-05-2016,43.70,42.65,42.65,42.60,42.60
07-05-2016,43.70,42.65,42.65,42.60,42.60
07-08-2016,42.60,41.15,42.00,41.15,41.70
07-08-2016,42.60,41.15,42.00,41.15,41.70
07-11-2016,42.60,41.15,42.00,41.15,41.70
07-12-2016,41.70,41.70,41.70,41.70,41.70
