Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,11.25,11.20,11.25,11.20,11.25
05-19-2016,11.25,11.50,11.75,11.20,11.20
05-20-2016,11.25,11.50,11.75,11.20,11.20
05-21-2016,11.20,11.20,11.20,11.20,11.20
05-23-2016,11.20,11.48,11.48,11.17,11.17
05-24-2016,11.20,11.48,11.48,11.17,11.17
05-25-2016,11.17,11.17,11.17,11.17,11.17
05-26-2016,11.17,11.17,11.17,11.17,11.17
05-27-2016,11.17,11.17,11.17,11.17,11.17
05-30-2016,11.17,11.17,11.17,11.17,11.17
05-31-2016,11.17,11.17,11.17,11.17,11.17
06-01-2016,11.17,10.62,10.80,10.62,10.62
06-02-2016,10.62,10.10,10.10,10.09,10.09
06-04-2016,10.09,9.10,10.50,9.10,10.50
06-06-2016,10.50,10.60,11.49,10.60,11.49
06-07-2016,11.49,11.49,12.15,11.49,12.15
06-08-2016,12.15,12.00,12.74,12.00,12.74
06-09-2016,12.15,12.00,12.74,12.00,12.74
06-10-2016,12.74,12.20,12.20,12.11,12.11
06-13-2016,12.11,11.51,11.51,11.51,11.51
06-14-2016,11.51,10.94,10.94,10.94,10.94
06-15-2016,10.94,10.41,10.99,10.40,10.99
06-16-2016,10.99,10.45,10.45,10.45,10.45
06-17-2016,10.45,10.40,10.41,10.40,10.41
06-19-2016,10.41,10.40,10.80,10.40,10.80
06-21-2016,10.80,10.75,10.78,10.26,10.78
06-22-2016,10.78,10.85,10.85,10.25,10.46
06-23-2016,10.46,10.70,10.70,10.60,10.60
06-24-2016,10.60,10.69,10.69,10.50,10.50
06-27-2016,10.50,10.98,10.98,10.98,10.98
06-28-2016,10.98,11.25,11.25,11.06,11.06
06-29-2016,11.06,10.51,10.51,10.51,10.51
06-30-2016,10.51,10.60,10.63,10.60,10.63
07-01-2016,10.63,10.65,11.00,10.65,11.00
07-05-2016,11.00,10.99,11.60,10.99,11.60
07-05-2016,11.60,11.50,12.10,11.50,11.95
07-08-2016,11.95,12.00,12.49,11.90,12.48
07-08-2016,12.48,12.50,13.55,12.50,13.55
07-11-2016,13.55,14.00,14.10,13.50,14.10
07-12-2016,14.10,13.45,13.75,13.45,13.65
