Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,10.62,10.80,11.00,10.11,11.00
05-19-2016,11.00,10.45,11.00,10.45,10.69
05-20-2016,10.69,10.16,10.75,10.16,10.74
05-21-2016,10.74,10.75,10.90,10.21,10.89
05-23-2016,10.89,10.95,10.95,10.35,10.84
05-24-2016,10.84,10.80,10.80,10.30,10.30
05-25-2016,10.30,10.70,10.70,9.80,9.84
05-26-2016,9.84,9.60,10.33,9.35,10.33
05-27-2016,10.33,10.32,10.32,10.00,10.32
05-30-2016,10.32,10.29,10.74,10.29,10.74
05-31-2016,10.74,10.21,10.21,10.21,10.21
06-01-2016,10.21,9.70,9.70,9.70,9.70
06-02-2016,9.70,10.18,10.18,9.23,9.24
06-04-2016,9.24,8.82,9.42,8.78,8.85
06-06-2016,8.85,9.15,9.29,8.51,8.51
06-07-2016,8.81,9.25,9.25,8.42,8.87
06-08-2016,8.87,8.55,9.31,8.55,8.92
06-09-2016,8.92,8.62,9.28,8.62,9.27
06-10-2016,9.27,9.36,9.73,8.90,9.64
06-13-2016,9.64,10.12,10.12,9.19,9.89
06-14-2016,9.89,9.65,10.21,9.46,9.62
06-15-2016,9.62,10.10,10.10,9.19,9.89
06-16-2016,9.89,10.38,10.38,9.50,9.88
06-17-2016,9.88,9.50,9.89,9.39,9.40
06-19-2016,9.40,9.00,9.87,8.93,9.23
06-21-2016,9.23,9.69,9.69,9.69,9.69
06-22-2016,9.69,10.10,10.10,10.10,10.10
06-23-2016,10.10,10.60,10.60,9.60,9.60
06-24-2016,9.60,10.00,10.00,9.12,9.93
06-27-2016,9.93,10.32,10.32,10.32,10.32
06-28-2016,10.32,10.79,10.80,9.82,9.82
06-29-2016,9.82,10.31,10.31,9.33,10.05
06-30-2016,10.05,10.55,10.55,9.55,9.57
07-01-2016,9.57,9.11,10.04,9.11,9.99
07-05-2016,9.99,10.47,10.47,9.55,10.01
07-05-2016,10.01,10.48,10.51,9.52,9.90
07-08-2016,9.90,10.39,10.39,9.51,10.00
07-08-2016,10.00,10.45,10.50,9.60,10.00
07-11-2016,10.00,10.40,10.40,9.61,9.85
07-12-2016,9.92,10.20,10.20,9.60,10.00
