Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,6.99,6.70,6.70,6.67,6.69
05-19-2016,6.99,6.70,6.70,6.67,6.69
05-20-2016,6.69,6.60,7.55,6.60,7.55
05-21-2016,7.55,7.95,7.95,6.75,7.55
05-23-2016,7.55,6.90,7.40,6.63,7.40
05-24-2016,7.40,7.00,7.00,6.77,6.90
05-25-2016,7.40,7.00,7.00,6.77,6.90
05-26-2016,6.90,6.81,6.81,6.80,6.80
05-27-2016,6.80,6.80,6.83,6.80,6.80
05-30-2016,6.80,6.60,6.90,6.60,6.62
05-31-2016,6.62,6.60,7.19,6.60,7.00
06-01-2016,7.00,6.99,7.50,6.99,7.20
06-02-2016,7.20,7.02,7.47,6.80,6.80
06-04-2016,6.80,7.00,7.30,6.90,6.96
06-06-2016,6.96,6.90,7.35,6.82,7.35
06-07-2016,7.35,6.92,7.80,6.87,7.63
06-08-2016,7.63,7.16,7.45,6.56,7.06
06-09-2016,7.06,6.86,7.20,6.78,7.20
06-10-2016,7.20,7.07,7.20,6.95,7.18
06-13-2016,7.18,7.65,7.65,7.00,7.00
06-14-2016,7.00,7.00,7.00,7.00,7.00
06-15-2016,7.00,7.50,7.56,7.15,7.22
06-16-2016,7.22,7.01,7.65,7.00,7.65
06-17-2016,7.65,7.12,7.60,7.12,7.49
06-19-2016,7.49,7.50,7.90,7.50,7.60
06-21-2016,7.60,7.65,7.70,7.64,7.66
06-22-2016,7.66,7.25,7.26,7.25,7.25
06-23-2016,7.25,7.44,7.45,7.35,7.35
06-24-2016,7.35,7.35,7.35,7.00,7.29
06-27-2016,7.29,7.25,7.30,7.10,7.30
06-28-2016,7.30,7.20,7.50,7.20,7.25
06-29-2016,7.25,7.25,7.70,7.01,7.30
06-30-2016,7.30,7.50,8.00,7.41,7.99
07-01-2016,7.99,7.50,9.58,7.50,9.32
07-05-2016,9.32,9.20,9.50,9.00,9.05
07-05-2016,9.05,9.00,9.49,8.50,8.72
07-08-2016,8.72,9.00,9.69,8.60,9.59
07-08-2016,9.59,9.80,9.80,9.00,9.07
07-11-2016,9.07,9.70,9.80,9.02,9.76
07-12-2016,9.76,10.00,10.25,9.34,9.47
