Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,3.49,3.66,3.66,3.60,3.60
05-19-2016,3.60,3.78,3.78,3.78,3.78
05-20-2016,3.78,3.60,3.60,3.60,3.60
05-20-2016,3.60,3.42,3.70,3.42,3.70
05-23-2016,3.70,3.52,3.52,3.52,3.52
05-24-2016,3.52,3.35,3.35,3.35,3.35
05-25-2016,3.35,3.20,3.20,3.20,3.20
05-26-2016,3.20,3.06,3.35,3.06,3.06
05-27-2016,3.06,3.21,3.21,2.91,2.91
05-30-2016,2.91,3.00,3.00,3.00,3.00
05-31-2016,3.00,2.85,2.85,2.85,2.85
06-01-2016,2.85,2.99,2.99,2.71,2.72
06-02-2016,2.85,2.99,2.99,2.71,2.72
06-04-2016,2.72,2.65,2.79,2.59,2.79
06-06-2016,2.72,2.65,2.79,2.59,2.79
06-07-2016,2.79,2.92,2.92,2.66,2.92
06-08-2016,2.92,3.06,3.06,3.06,3.06
06-09-2016,3.06,3.20,3.20,2.96,3.08
06-10-2016,3.06,3.20,3.20,2.96,3.08
06-13-2016,3.08,3.00,3.22,2.94,3.22
06-14-2016,3.22,3.30,3.30,3.06,3.06
06-15-2016,3.06,2.91,2.91,2.91,2.91
06-16-2016,2.91,2.78,2.78,2.78,2.78
06-17-2016,2.78,2.69,2.69,2.69,2.69
06-19-2016,2.69,2.56,2.56,2.56,2.56
06-21-2016,2.69,2.56,2.56,2.56,2.56
06-22-2016,2.56,2.60,2.60,2.45,2.45
06-23-2016,2.45,2.57,2.57,2.46,2.46
06-24-2016,2.45,2.57,2.57,2.46,2.46
06-27-2016,2.46,2.58,2.58,2.40,2.40
06-28-2016,2.40,2.29,2.52,2.29,2.41
06-29-2016,2.41,2.53,2.53,2.53,2.53
06-30-2016,2.53,2.65,2.65,2.65,2.65
07-01-2016,2.65,2.78,2.78,2.78,2.78
07-05-2016,2.78,2.91,2.91,2.91,2.91
07-05-2016,2.91,2.80,2.99,2.80,2.98
07-07-2016,2.98,2.85,3.12,2.85,2.87
07-08-2016,2.87,2.80,2.80,2.80,2.80
07-11-2016,2.80,2.73,2.73,2.73,2.73
07-12-2016,2.73,2.70,2.86,2.70,2.86
