Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,64.50,61.30,61.30,61.30,61.30

06-08-2016,61.30,58.25,58.25,58.25,58.25
06-09-2016,61.30,58.25,58.25,58.25,58.25
06-10-2016,58.25,55.35,61.00,55.35,61.00
06-13-2016,58.25,55.35,61.00,55.35,61.00
06-14-2016,58.25,55.35,61.00,55.35,61.00
06-15-2016,58.25,55.35,61.00,55.35,61.00
06-16-2016,61.00,58.00,58.00,57.95,57.95
06-17-2016,57.95,55.15,55.15,55.10,55.10
06-19-2016,57.95,55.15,55.15,55.10,55.10
06-21-2016,55.10,55.00,55.00,55.00,55.00
06-22-2016,55.00,52.30,52.30,52.30,52.30
06-23-2016,52.30,50.00,50.00,50.00,50.00
06-24-2016,50.00,52.20,52.20,52.20,52.20
06-27-2016,50.00,52.20,52.20,52.20,52.20
06-28-2016,50.00,52.20,52.20,52.20,52.20
06-29-2016,52.20,50.30,50.30,50.30,50.30
06-30-2016,50.30,51.00,52.80,51.00,52.80
07-01-2016,50.30,51.00,52.80,51.00,52.80
07-05-2016,50.30,51.00,52.80,51.00,52.80
07-05-2016,50.30,51.00,52.80,51.00,52.80
07-08-2016,52.80,51.25,51.25,50.55,50.55
07-08-2016,50.55,50.00,50.00,48.20,48.20
07-11-2016,48.20,49.20,50.60,49.20,50.60
07-12-2016,50.60,52.00,53.10,52.00,52.90
