Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,672.55,668.30,677.80,651.00,674.50
05-19-2016,674.50,671.90,689.00,667.10,683.75
05-20-2016,683.75,689.90,691.35,658.30,668.00
05-20-2016,668.00,651.90,666.80,648.15,664.85
05-23-2016,664.85,657.10,679.20,653.50,669.85
05-24-2016,669.85,672.20,680.50,668.00,679.90
05-25-2016,679.90,677.90,678.00,652.25,666.45
05-26-2016,666.45,663.10,685.55,663.00,680.10
05-27-2016,680.10,684.00,687.00,669.10,679.05
05-30-2016,679.05,679.10,690.00,672.30,675.85
05-31-2016,675.85,672.00,677.70,667.65,673.50
06-01-2016,673.50,673.50,678.75,672.70,673.65
06-02-2016,673.65,676.90,676.90,666.00,673.40
06-04-2016,673.40,670.25,680.00,670.00,674.80
06-06-2016,674.80,678.80,723.00,675.00,712.00
06-07-2016,712.00,707.80,739.00,705.00,734.50
06-08-2016,734.50,736.65,794.10,736.65,770.80
06-09-2016,770.80,775.20,775.20,749.00,760.10
06-10-2016,760.10,751.00,774.00,735.60,741.40
06-13-2016,741.40,735.00,750.00,731.30,745.25
06-14-2016,745.25,745.15,745.15,713.00,725.65
06-15-2016,725.65,727.20,737.95,720.10,732.00
06-16-2016,732.00,747.00,755.50,733.65,735.30
06-17-2016,735.30,739.15,739.60,727.50,732.50
06-19-2016,732.50,730.00,749.90,726.05,737.60
06-21-2016,737.60,744.10,764.00,738.00,757.05
06-22-2016,757.05,770.80,775.00,749.30,759.80
06-23-2016,759.80,756.00,778.50,749.70,768.10
06-24-2016,768.10,734.50,783.55,703.00,774.05
06-27-2016,774.05,783.25,802.20,774.00,778.30
06-28-2016,778.30,783.60,789.00,761.85,767.70
06-29-2016,767.70,773.90,775.20,755.00,760.05
06-30-2016,760.05,767.35,780.00,762.10,769.40
07-01-2016,769.40,776.60,777.30,764.00,770.05
07-05-2016,770.05,775.00,784.80,760.30,774.95
07-05-2016,774.95,769.85,779.10,756.60,760.85
07-07-2016,760.85,763.15,782.35,762.00,769.85
07-08-2016,769.85,762.95,766.05,752.15,764.00
07-11-2016,764.00,772.00,786.00,754.00,766.50
07-12-2016,766.50,768.15,777.45,748.80,754.90
