Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,318.00,296.20,348.90,292.00,310.90
05-19-2016,310.90,298.00,325.80,298.00,325.80
05-19-2016,310.90,298.00,325.80,298.00,325.80
05-20-2016,325.80,292.70,318.70,292.20,318.50
05-23-2016,318.50,320.00,323.95,299.00,301.65
05-24-2016,301.65,302.00,318.00,302.00,318.00
05-25-2016,318.00,300.00,313.80,295.05,313.80
05-26-2016,313.80,306.00,306.00,300.00,304.40
05-27-2016,304.40,284.10,311.00,284.10,306.10
05-30-2016,306.10,327.90,327.90,306.00,306.40
05-31-2016,306.10,327.90,327.90,306.00,306.40
06-01-2016,306.40,323.00,323.00,289.50,321.50
06-02-2016,321.50,296.00,318.90,296.00,301.85
06-04-2016,321.50,296.00,318.90,296.00,301.85
06-06-2016,301.85,303.00,303.00,296.00,296.00
06-07-2016,300.65,302.00,310.00,300.00,310.00
06-08-2016,310.00,324.85,324.85,291.10,302.45
06-09-2016,302.45,302.50,314.50,300.00,312.95
06-10-2016,312.95,302.00,315.90,302.00,309.30
06-13-2016,312.95,302.00,315.90,302.00,309.30
06-14-2016,309.30,291.00,327.95,287.20,303.65
06-15-2016,303.65,319.00,319.00,302.00,306.55
06-16-2016,303.65,319.00,319.00,302.00,306.55
06-17-2016,306.55,307.00,309.50,301.00,301.00
06-19-2016,301.00,301.00,327.95,301.00,310.10
06-21-2016,310.10,310.00,310.00,299.95,300.35
06-22-2016,300.35,300.00,309.00,293.40,302.55
06-23-2016,302.55,300.00,308.90,300.00,308.90
06-24-2016,308.90,306.00,306.00,300.00,300.00
06-27-2016,300.00,290.00,310.00,280.00,298.65
06-28-2016,298.65,289.00,324.90,289.00,320.65
06-29-2016,320.65,315.00,315.00,315.00,315.00
06-30-2016,315.00,323.10,323.10,310.00,319.90
07-01-2016,319.90,307.05,335.00,307.00,321.55
07-05-2016,321.55,333.00,333.00,315.00,317.70
07-05-2016,317.70,320.00,340.00,320.00,330.00
07-07-2016,330.00,331.80,331.80,316.15,325.00
07-08-2016,325.00,325.95,326.00,320.00,320.00
07-11-2016,320.00,330.30,341.00,325.10,336.35
07-12-2016,336.35,315.00,338.40,315.00,318.15
