Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,18.20,17.30,17.30,17.30,17.30
05-19-2016,17.30,17.20,17.60,16.65,16.65
05-20-2016,17.30,17.20,17.60,16.65,16.65
05-21-2016,17.30,17.20,17.60,16.65,16.65
05-23-2016,16.65,16.65,16.80,16.05,16.05
05-24-2016,16.05,16.85,16.85,15.30,15.40
05-25-2016,16.05,16.85,16.85,15.30,15.40
05-26-2016,16.05,16.85,16.85,15.30,15.40
05-27-2016,15.40,15.75,16.15,15.75,16.15
05-30-2016,16.15,16.95,16.95,16.15,16.15
05-31-2016,16.15,16.95,16.95,16.15,16.15
06-01-2016,16.15,16.95,16.95,16.95,16.95
06-02-2016,16.95,17.75,17.75,16.50,16.75
06-04-2016,16.95,17.75,17.75,16.50,16.75
06-06-2016,16.75,17.55,17.55,16.15,16.15
06-07-2016,16.75,17.55,17.55,16.15,16.15
06-08-2016,16.75,17.55,17.55,16.15,16.15
06-09-2016,16.15,15.55,16.95,15.55,15.60
06-10-2016,15.60,16.30,16.30,15.10,15.10
06-13-2016,15.10,15.85,15.85,15.85,15.85
06-14-2016,15.85,15.65,15.65,15.65,15.65
06-15-2016,15.85,15.65,15.65,15.65,15.65
06-16-2016,15.85,15.65,15.65,15.65,15.65
06-17-2016,15.65,16.30,16.40,15.10,15.10
06-19-2016,15.65,16.30,16.40,15.10,15.10
06-21-2016,15.65,16.30,16.40,15.10,15.10
06-22-2016,15.65,16.30,16.40,15.10,15.10
06-23-2016,15.10,14.45,14.45,14.45,14.45
06-24-2016,14.45,15.15,15.15,15.15,15.15
06-27-2016,15.15,15.00,15.90,15.00,15.35
06-28-2016,15.35,16.10,16.10,15.25,15.25
06-29-2016,15.35,16.10,16.10,15.25,15.25
06-30-2016,15.25,15.60,16.00,15.60,15.60
07-01-2016,15.25,15.60,16.00,15.60,15.60
07-05-2016,15.25,15.60,16.00,15.60,15.60
07-05-2016,15.25,15.60,16.00,15.60,15.60
07-08-2016,15.60,15.60,16.35,15.00,15.00
07-08-2016,15.60,15.60,16.35,15.00,15.00
07-11-2016,15.60,15.60,16.35,15.00,15.00
07-12-2016,15.60,15.60,16.35,15.00,15.00
