Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,29.80,29.85,30.00,28.45,29.15
05-19-2016,29.15,29.85,29.85,28.30,29.00
05-20-2016,29.00,30.30,32.80,28.30,30.60
05-20-2016,30.60,30.00,30.85,28.30,28.55
05-23-2016,28.55,28.30,29.90,27.90,28.35
05-24-2016,28.35,27.90,29.00,27.50,27.55
05-25-2016,27.55,29.00,29.00,27.50,27.80
05-26-2016,27.80,27.60,29.00,27.30,28.10
05-27-2016,28.10,29.60,29.60,28.30,29.05
05-30-2016,29.05,30.00,30.00,27.60,28.25
05-31-2016,28.25,28.50,28.70,26.90,28.30
06-01-2016,28.30,28.20,29.00,27.70,28.25
06-02-2016,28.25,27.25,28.85,27.25,28.00
06-04-2016,28.00,29.95,29.95,26.55,27.10
06-06-2016,27.10,28.00,28.00,26.35,27.75
06-07-2016,27.50,27.10,27.80,27.10,27.20
06-08-2016,27.20,27.25,27.25,25.50,25.65
06-09-2016,25.65,26.85,26.90,25.60,26.85
06-10-2016,26.85,26.20,28.45,25.80,25.95
06-13-2016,25.95,25.75,26.75,25.50,26.70
06-14-2016,26.70,25.40,26.50,25.40,26.10
06-15-2016,26.10,26.90,27.70,26.50,27.50
06-16-2016,27.50,25.95,26.95,25.60,26.25
06-17-2016,26.25,27.60,27.60,25.65,25.70
06-19-2016,25.70,26.65,26.65,24.05,24.60
06-21-2016,24.60,26.30,26.30,25.00,25.50
06-22-2016,25.50,25.20,26.00,25.20,25.55
06-23-2016,25.55,26.30,26.30,25.00,26.30
06-24-2016,26.30,24.00,25.90,24.00,25.75
06-27-2016,25.75,24.40,26.00,24.40,24.80
06-28-2016,24.80,25.80,25.80,24.10,25.55
06-29-2016,25.55,25.50,26.90,25.50,26.80
06-30-2016,26.80,26.95,27.70,26.00,27.00
07-01-2016,27.00,28.00,29.50,26.50,26.60
07-05-2016,26.60,28.45,28.45,26.00,26.15
07-05-2016,26.15,26.00,26.95,25.00,26.90
07-08-2016,26.90,26.00,27.20,25.80,27.20
07-08-2016,27.20,26.00,27.25,26.00,26.75
07-11-2016,26.75,27.90,28.75,26.05,27.00
07-12-2016,26.75,27.00,27.50,26.25,26.60
