Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4.09,3.89,3.89,3.89,3.89
05-19-2016,4.09,3.89,3.89,3.89,3.89
05-19-2016,3.89,3.71,3.71,3.71,3.71
05-20-2016,3.71,3.89,3.89,3.89,3.89
05-23-2016,3.71,3.89,3.89,3.89,3.89
05-24-2016,3.89,3.70,3.70,3.70,3.70
05-25-2016,3.89,3.70,3.70,3.70,3.70
05-26-2016,3.89,3.70,3.70,3.70,3.70
05-27-2016,3.70,3.52,3.52,3.52,3.52
05-30-2016,3.70,3.52,3.52,3.52,3.52
05-31-2016,3.70,3.52,3.52,3.52,3.52
06-01-2016,3.70,3.52,3.52,3.52,3.52
06-02-2016,3.52,3.52,3.52,3.52,3.52
06-04-2016,3.52,3.35,3.35,3.35,3.35
06-06-2016,3.52,3.35,3.35,3.35,3.35
06-07-2016,3.52,3.35,3.35,3.35,3.35
06-08-2016,3.52,3.35,3.35,3.35,3.35
06-09-2016,3.35,3.35,3.35,3.35,3.35
06-10-2016,3.35,3.35,3.35,3.35,3.35
06-13-2016,3.35,3.35,3.35,3.35,3.35
06-14-2016,3.35,3.20,3.20,3.20,3.20
06-15-2016,3.35,3.20,3.20,3.20,3.20
06-16-2016,3.35,3.20,3.20,3.20,3.20
06-17-2016,3.35,3.20,3.20,3.20,3.20
06-19-2016,3.35,3.20,3.20,3.20,3.20
06-21-2016,3.20,3.04,3.04,3.04,3.04
06-22-2016,3.04,3.10,3.19,3.10,3.19
06-23-2016,3.19,3.34,3.34,3.34,3.34
06-24-2016,3.19,3.34,3.34,3.34,3.34
06-27-2016,3.19,3.34,3.34,3.34,3.34
06-28-2016,3.19,3.34,3.34,3.34,3.34
06-29-2016,3.34,3.50,3.50,3.50,3.50
06-30-2016,3.50,3.51,3.51,3.33,3.33
07-01-2016,3.33,3.49,3.49,3.49,3.49
07-05-2016,3.33,3.49,3.49,3.49,3.49
07-05-2016,3.49,3.66,3.66,3.66,3.66
07-07-2016,3.49,3.66,3.66,3.66,3.66
07-08-2016,3.66,3.84,3.84,3.84,3.84
07-11-2016,3.66,3.84,3.84,3.84,3.84
07-12-2016,3.84,3.86,4.03,3.86,3.86
