Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,9.75,9.53,9.90,9.53,9.65
05-19-2016,9.65,9.05,9.85,9.05,9.37
05-19-2016,9.37,9.01,9.39,8.70,8.99
05-20-2016,8.99,8.98,9.45,8.25,8.88
05-23-2016,8.88,8.95,9.25,8.85,9.00
05-24-2016,9.00,8.64,8.89,8.64,8.89
05-25-2016,8.89,8.80,8.95,8.80,8.80
05-26-2016,8.80,8.99,8.99,8.60,8.64
05-27-2016,8.64,8.50,8.80,8.50,8.55
05-30-2016,8.55,8.54,8.54,8.13,8.14
05-31-2016,8.14,7.81,8.45,7.81,8.25
06-01-2016,8.25,8.43,8.43,8.00,8.31
06-02-2016,8.31,8.35,8.35,7.90,7.95
06-04-2016,7.95,8.32,8.32,7.90,7.90
06-06-2016,7.90,8.20,8.20,7.90,7.90
06-07-2016,7.90,8.10,8.10,7.71,7.89
06-08-2016,7.89,8.19,8.19,8.14,8.14
06-09-2016,8.14,7.81,8.32,7.81,8.27
06-10-2016,8.27,8.52,8.64,8.21,8.24
06-13-2016,8.24,8.60,8.60,8.20,8.38
06-14-2016,8.38,8.60,8.65,8.35,8.54
06-15-2016,8.54,8.50,8.74,8.22,8.63
06-16-2016,8.63,8.55,8.55,8.26,8.26
06-17-2016,8.26,8.15,8.50,8.15,8.22
06-19-2016,8.22,8.55,8.55,8.50,8.50
06-21-2016,8.50,8.14,8.65,8.14,8.23
06-22-2016,8.23,8.18,8.50,8.18,8.23
06-23-2016,8.23,8.47,8.64,8.30,8.59
06-24-2016,8.59,8.19,8.40,8.17,8.39
06-27-2016,8.39,8.09,8.38,8.09,8.14
06-28-2016,8.14,8.07,8.45,8.07,8.17
06-29-2016,8.17,8.39,8.39,8.12,8.12
06-30-2016,8.12,8.50,8.50,8.08,8.47
07-01-2016,8.47,8.08,8.83,8.08,8.81
07-05-2016,8.81,8.55,9.68,8.55,9.61
07-05-2016,9.61,9.90,9.90,9.16,9.69
07-07-2016,9.69,9.58,9.58,8.90,9.05
07-08-2016,9.05,8.70,9.32,8.70,9.26
07-11-2016,9.26,8.80,9.24,8.80,9.24
07-12-2016,9.07,8.50,9.00,8.46,8.64
07-13-2016,8.64,8.34,8.88,8.34,8.78
