Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,53.05,50.40,53.50,50.40,53.30
05-19-2016,53.30,53.00,53.00,52.00,52.00
05-20-2016,52.00,49.40,49.40,49.40,49.40
05-21-2016,49.40,47.50,47.50,47.50,47.50
05-23-2016,49.40,47.50,47.50,47.50,47.50
05-24-2016,49.40,47.50,47.50,47.50,47.50
05-25-2016,47.50,45.15,45.15,45.15,45.15
05-26-2016,47.50,45.15,45.15,45.15,45.15
05-27-2016,45.15,42.90,42.90,42.90,42.90
05-30-2016,45.15,42.90,42.90,42.90,42.90
05-31-2016,45.15,42.90,42.90,42.90,42.90
06-01-2016,42.90,45.00,45.00,45.00,45.00
06-02-2016,45.00,45.00,45.00,45.00,45.00
06-04-2016,45.00,45.00,45.00,45.00,45.00
06-06-2016,45.00,47.00,47.00,47.00,47.00
06-07-2016,47.00,48.95,48.95,48.95,48.95
06-08-2016,48.95,47.00,47.00,46.60,46.60
06-09-2016,48.95,47.00,47.00,46.60,46.60
06-10-2016,46.60,47.00,47.00,47.00,47.00
06-13-2016,46.60,47.00,47.00,47.00,47.00
06-14-2016,46.60,47.00,47.00,47.00,47.00
06-15-2016,46.60,47.00,47.00,47.00,47.00
06-16-2016,47.00,48.00,48.90,48.00,48.00
06-17-2016,48.00,46.05,46.05,46.00,46.00
06-19-2016,48.00,46.05,46.05,46.00,46.00
06-21-2016,48.00,46.05,46.05,46.00,46.00
06-22-2016,48.00,46.05,46.05,46.00,46.00
06-23-2016,48.00,46.05,46.05,46.00,46.00
06-24-2016,48.00,46.05,46.05,46.00,46.00
06-27-2016,48.00,46.05,46.05,46.00,46.00
06-28-2016,46.00,46.00,46.00,46.00,46.00
06-29-2016,46.00,46.00,46.00,46.00,46.00
06-30-2016,46.00,45.90,46.00,45.90,46.00
07-01-2016,46.00,47.95,47.95,47.95,47.95
07-05-2016,47.95,45.60,45.60,45.60,45.60
07-05-2016,47.95,45.60,45.60,45.60,45.60
07-08-2016,47.95,45.60,45.60,45.60,45.60
07-08-2016,45.60,46.85,46.85,43.35,43.35
07-11-2016,43.35,41.20,41.20,41.20,41.20
07-12-2016,41.20,39.15,39.30,39.15,39.30
