Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,37.70,37.50,38.45,37.50,38.45
05-19-2016,38.45,39.20,39.20,39.20,39.20
05-19-2016,39.20,39.95,39.95,39.95,39.95
05-20-2016,39.95,40.70,40.70,40.70,40.70
05-23-2016,40.70,41.50,41.50,41.50,41.50
05-24-2016,41.50,42.30,42.30,42.30,42.30
05-25-2016,42.30,43.10,43.10,43.10,43.10
05-26-2016,43.10,43.95,43.95,43.00,43.95
05-27-2016,43.95,44.75,44.75,44.75,44.75
05-30-2016,44.75,45.60,45.60,45.60,45.60
05-31-2016,45.60,46.50,46.50,46.50,46.50
06-01-2016,46.50,47.40,47.40,45.60,47.40
06-02-2016,47.40,48.30,48.30,48.30,48.30
06-04-2016,48.30,49.20,49.20,49.20,49.20
06-06-2016,49.20,50.15,50.15,50.15,50.15
06-07-2016,50.15,51.15,51.15,51.15,51.15
06-08-2016,51.15,52.15,52.15,52.15,52.15
06-09-2016,52.15,53.15,53.15,53.15,53.15
06-10-2016,53.15,54.10,54.10,54.10,54.10
06-13-2016,54.10,55.15,55.15,55.15,55.15
06-14-2016,55.15,56.25,56.25,56.25,56.25
06-15-2016,56.25,57.35,57.35,57.35,57.35
06-16-2016,57.35,58.45,58.45,56.25,56.25
06-17-2016,56.25,55.15,55.15,55.15,55.15
06-19-2016,55.15,54.05,56.25,54.05,55.55
06-21-2016,55.55,56.65,56.65,54.45,56.05
06-22-2016,56.05,56.60,57.15,54.95,55.80
06-23-2016,55.80,56.65,56.90,54.70,56.80
06-24-2016,56.80,55.70,57.75,55.70,57.65
06-27-2016,57.65,58.20,58.55,56.60,58.40
06-28-2016,58.40,58.50,58.55,57.55,58.55
06-29-2016,58.55,58.55,58.55,57.50,58.35
06-30-2016,58.35,58.40,58.55,57.20,58.45
07-01-2016,58.45,61.35,61.35,55.55,61.20
07-05-2016,61.20,64.00,64.25,58.15,63.00
07-05-2016,63.00,64.40,66.10,59.85,65.65
07-07-2016,65.65,67.75,68.90,65.00,68.80
07-08-2016,68.80,72.00,72.20,68.00,72.10
07-11-2016,72.10,68.55,75.70,68.55,75.70
07-12-2016,75.70,78.90,79.45,78.00,79.00
