Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,265.90,270.00,271.20,260.00,266.40
05-19-2016,266.40,268.50,270.00,265.90,266.30
05-20-2016,266.30,266.50,270.00,265.80,265.80
05-20-2016,265.80,267.00,280.00,255.00,268.40
05-23-2016,268.40,270.00,270.00,267.50,270.00
05-24-2016,270.00,267.50,273.00,266.10,267.50
05-25-2016,267.50,269.00,272.90,269.00,269.70
05-26-2016,269.70,270.70,270.70,239.05,249.20
05-27-2016,249.20,252.10,269.40,252.10,262.20
05-30-2016,262.20,266.50,266.50,261.15,262.20
05-31-2016,262.20,265.00,275.00,256.10,260.20
06-01-2016,260.20,266.10,269.50,255.50,262.65
06-02-2016,262.65,264.50,266.00,261.00,262.10
06-04-2016,262.10,267.50,267.65,257.00,261.05
06-06-2016,261.05,264.00,267.40,258.00,259.90
06-07-2016,259.90,265.00,265.00,264.00,264.05
06-08-2016,264.05,266.00,267.45,264.40,266.80
06-09-2016,266.80,266.40,266.40,263.80,264.10
06-10-2016,264.10,267.50,270.50,255.10,260.55
06-13-2016,260.55,264.50,267.00,262.00,264.65
06-14-2016,264.65,264.00,264.70,259.00,262.80
06-15-2016,262.80,263.00,264.95,260.00,260.55
06-16-2016,260.55,263.50,265.00,259.50,265.00
06-17-2016,265.00,264.90,264.95,261.10,262.00
06-19-2016,262.00,262.25,264.95,258.00,260.70
06-21-2016,260.70,265.50,266.00,262.80,263.90
06-22-2016,263.90,262.95,265.00,261.40,261.85
06-23-2016,261.85,262.95,264.05,255.00,259.90
06-24-2016,259.90,260.00,311.50,255.30,260.00
06-27-2016,260.00,260.00,270.00,260.00,262.65
06-28-2016,262.65,265.00,273.00,263.15,264.05
06-29-2016,264.05,265.00,276.10,263.70,264.25
06-30-2016,264.25,270.00,280.00,265.00,270.85
07-01-2016,270.85,270.00,274.45,250.10,266.00
07-05-2016,266.00,268.55,272.80,263.10,265.15
07-05-2016,265.15,267.50,272.50,263.60,265.50
07-08-2016,265.50,265.50,272.20,259.50,264.10
07-08-2016,264.10,268.00,270.00,257.00,261.25
07-11-2016,261.25,258.05,270.00,250.05,260.70
07-12-2016,260.70,261.00,270.45,261.00,263.65
