Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,587.50,591.75,604.25,584.50,586.75
05-19-2016,586.75,587.00,699.75,583.00,669.00
05-19-2016,669.00,674.50,706.50,646.00,649.25
05-20-2016,649.25,652.00,673.00,628.75,637.00
05-23-2016,637.00,642.75,661.00,621.00,628.00
05-24-2016,628.00,620.00,623.20,608.10,610.30
05-25-2016,610.30,625.00,659.00,619.00,638.40
05-26-2016,638.40,639.00,650.00,629.00,635.45
05-27-2016,635.45,622.05,623.00,560.00,581.40
05-30-2016,581.40,580.40,580.90,554.20,564.70
05-31-2016,564.70,560.00,600.40,553.00,582.20
06-01-2016,582.20,580.05,610.75,580.05,589.15
06-02-2016,589.15,593.00,599.70,578.85,585.05
06-04-2016,585.05,590.00,597.00,562.00,567.15
06-06-2016,567.15,580.00,586.00,571.00,577.55
06-07-2016,577.55,580.00,599.00,577.50,588.25
06-08-2016,588.25,598.60,607.50,586.00,592.25
06-09-2016,592.25,599.40,599.40,578.75,582.35
06-10-2016,582.35,579.10,612.00,579.00,591.30
06-13-2016,591.30,585.00,593.50,580.00,587.55
06-14-2016,587.55,595.00,600.00,587.50,591.00
06-15-2016,591.00,580.00,592.00,578.75,580.30
06-16-2016,580.30,585.00,585.00,570.55,577.40
06-17-2016,577.40,586.00,650.10,586.00,619.40
06-19-2016,619.40,592.00,649.00,592.00,641.45
06-21-2016,641.45,648.90,661.00,641.00,643.80
06-22-2016,643.80,643.00,643.00,616.90,629.40
06-23-2016,629.40,630.00,633.00,610.00,624.10
06-24-2016,624.10,605.00,632.75,574.25,620.30
06-27-2016,620.30,634.50,639.50,615.95,626.90
06-28-2016,626.90,636.00,719.00,626.05,688.55
06-29-2016,688.55,689.85,707.25,665.00,672.30
06-30-2016,672.30,681.00,710.00,678.05,683.75
07-01-2016,683.75,675.00,698.90,675.00,680.95
07-05-2016,680.95,699.00,701.60,685.20,687.80
07-05-2016,687.80,697.00,709.95,686.00,693.45
07-07-2016,693.45,690.00,704.00,690.00,694.85
07-08-2016,694.85,691.00,699.00,678.50,680.85
07-11-2016,680.85,687.00,704.25,680.00,685.60
07-12-2016,685.60,692.55,692.55,671.25,675.00
07-13-2016,675.00,679.10,689.85,661.35,672.95
