Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,17.36,17.36,17.36,17.36,17.36
05-19-2016,17.36,16.50,17.36,16.50,17.36
05-20-2016,17.36,17.36,17.36,17.36,17.36
05-21-2016,17.36,17.36,17.36,17.36,17.36
05-23-2016,17.36,17.36,17.36,17.36,17.36
05-24-2016,17.36,17.36,17.36,17.36,17.36
05-25-2016,17.36,17.36,17.36,17.36,17.36
05-26-2016,17.36,17.36,17.36,17.36,17.36
05-27-2016,17.36,17.36,17.36,17.36,17.36
05-30-2016,17.36,17.36,17.36,17.36,17.36
05-31-2016,17.36,17.40,17.40,17.40,17.40
06-01-2016,17.40,17.40,17.40,17.40,17.40
06-02-2016,17.40,17.40,17.40,17.40,17.40
06-04-2016,17.40,17.40,17.40,17.40,17.40
06-06-2016,17.40,17.40,17.40,17.40,17.40
06-07-2016,17.40,17.40,17.40,17.40,17.40
06-08-2016,17.40,17.40,17.40,17.40,17.40
06-09-2016,17.40,17.40,17.40,17.40,17.40
06-10-2016,17.40,17.40,17.40,17.40,17.40
06-13-2016,17.40,17.40,17.40,17.40,17.40
06-14-2016,17.40,17.40,17.40,17.40,17.40
06-15-2016,17.40,17.40,17.40,17.40,17.40
06-16-2016,17.40,17.40,17.40,17.40,17.40
06-17-2016,17.40,17.40,17.40,17.40,17.40
06-19-2016,17.40,17.40,17.40,17.40,17.40
06-21-2016,17.40,17.40,17.40,17.40,17.40
06-22-2016,17.40,17.40,17.40,17.40,17.40
06-23-2016,17.40,17.40,17.40,17.40,17.40
06-24-2016,17.40,17.40,17.40,17.40,17.40
06-27-2016,17.40,17.40,17.40,17.40,17.40
06-28-2016,17.40,17.40,17.40,17.40,17.40
06-29-2016,17.40,17.40,17.40,17.40,17.40
06-30-2016,17.40,17.40,17.40,17.40,17.40
07-01-2016,17.40,18.25,18.25,18.25,18.25
07-05-2016,18.25,19.15,19.15,19.15,19.15
07-05-2016,19.15,20.10,20.10,20.10,20.10
07-08-2016,19.15,20.10,20.10,20.10,20.10
07-08-2016,20.10,21.10,21.10,21.10,21.10
07-11-2016,20.10,21.10,21.10,21.10,21.10
07-12-2016,20.10,21.10,21.10,21.10,21.10
